"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P13645",6.43768230809781,2.97643993189695,19.9678140327343,2.96571242997497e-24,1.87136454331421e-21,43.6885713504778
"KRT1",7.17668392521288,3.24960602826261,18.6543906456667,4.80420815600945e-23,1.51572767322098e-20,41.1914179498157
"P63261",4.65721842769948,2.45979019689723,17.4675046735285,6.80110050016083e-22,1.07287360390037e-19,38.7837010489793
"P60709",4.65721842769948,2.45979019689723,17.4675046735285,6.80110050016083e-22,1.07287360390037e-19,38.7837010489793
"KRT9",5.94521160372345,2.75795260815414,16.2465412254731,1.19942214674137e-20,1.5136707491876e-18,36.1451772726246
"P02768",6.13683300791614,3.23301415862248,15.8913870696313,2.84532138841761e-20,2.99232966015252e-18,35.3451555040818
"TLN1",5.20336827479619,2.71389669310979,12.139399669611,6.35069596646971e-16,5.72469879263198e-14,25.9086956566645
"eeF1A1P5",4.21265441361442,1.86671378928113,11.8627893754063,1.42322339269243e-15,1.12256745098615e-13,25.1373509798713
"KRT14",5.39794307329314,2.44276934440136,9.63126210156458,1.3698312839964e-12,9.60403933557473e-11,18.5240366356193
"KRT2",6.31727635674127,2.86031237617989,9.34848532230992,3.41955770045568e-12,2.15774090898753e-10,17.6382238220853
"P68104",4.21265441361442,1.79940580014137,9.20164243478609,5.51923259686485e-12,3.16603251692884e-10,17.17431190499
"KRT16",5.28229381912175,2.30697925096178,8.76991448224535,2.28659976377168e-11,1.20237037578328e-09,15.7955739605892
"P13647",5.61793254387642,2.44539382196407,8.44649618082277,6.71757806610616e-11,3.26060904593307e-09,14.7491345283632
"PKM",3.18750783636445,1.39826985526521,8.42401502463207,7.24290079920009e-11,3.2644788602109e-09,14.6759905893376
"P19823",3.29699309500712,1.72378064659439,8.21968544332887,1.43900615691431e-10,6.05341923341954e-09,14.0089142649943
"Q04695",4.58556872414338,2.00730714342483,7.57348827796657,1.2912301429144e-09,5.09228887611868e-08,11.8753065927862
"KRT13",3.60931142894812,1.5651524960697,7.376521216138,2.53520782893589e-09,9.41009494152087e-08,11.2189924085548
"VTN",2.41647198659649,1.30500717022259,7.27340022530503,3.61240159613185e-09,1.26634744842178e-07,10.8745179860333
"GPX3",-2.96223435170181,0.481329126730382,-7.13767813839585,5.76156042589999e-09,1.91344454144363e-07,10.4203702492312
"KRT3",3.83944679341317,1.58048859238809,7.01453379513658,8.80618721648682e-09,2.77835206680159e-07,10.0076716092808
"KRT6A",5.2854750580305,2.4219735959836,6.6037980280846,3.63663591027896e-08,1.09272250446954e-06,8.6284242206632
"P02788",2.70885972822573,1.24423163318215,6.48451686073304,5.49242432104772e-08,1.57532715753687e-06,8.22760104817412
"eHD3",2.07136230985543,0.929085257842862,6.35708343120514,8.53212869778663e-08,2.3407709601319e-06,7.79952335959353
"HBA1",3.4912073333062,1.70191375070829,6.09000078915369,2.1460504731185e-07,5.64232436890739e-06,6.9036037501636
"H2BC18",2.12974343960652,0.730843712997558,6.0139889504023,2.78924356369715e-07,7.0400507547716e-06,6.64913276978459
