"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P63261" 5.06900315391267 2.45979019689723 19.0119569557827 2.21768924831063e-23 6.99680957842002e-21 41.8880909824583
"P60709" 5.06900315391267 2.45979019689723 19.0119569557827 2.21768924831063e-23 6.99680957842002e-21 41.8880909824583
"P13645" 5.66283344053477 2.97643993189695 17.5644587022745 5.44982130119597e-22 1.14627908035155e-19 38.9860378548331
"P02768" 6.35004019308387 3.23301415862248 16.44348909052 7.47193327848353e-21 1.17869747468078e-18 36.5823777537539
"KRT1" 6.0504866132688 3.24960602826261 15.7270603047974 4.26293100037619e-20 5.37981892247476e-18 34.9698629751577
"KRT9" 5.38709505040763 2.75795260815414 14.7213703490681 5.40251117034391e-19 5.68164091414501e-17 32.6003286652117
"TLN1" 5.65950380706681 2.71389669310979 13.2035587368376 3.11979743374659e-17 2.81227454384871e-15 28.7764591441376
"P68366" 3.90777099176145 1.76508982753113 8.95532782992712 1.23877961160742e-11 9.7708741865535e-10 16.3903385513231
"eeF1A1P5" 2.97862811708428 1.86671378928113 8.38778463916696 8.17815413864190e-11 5.73379473498116e-09 14.5580061182259
"KRT14" 4.61592409409354 2.44276934440136 8.23594732058184 1.36230091865235e-10 8.59611879669631e-09 14.0621510582454
"KRT2" 5.54263609583908 2.86031237617989 8.2021506204274 1.52660244104859e-10 8.75714673001511e-09 13.9514825985613
"FLNA" 4.63794565079995 1.75658537855711 7.73817084929044 7.35944452091496e-10 3.86984124391445e-08 12.4221330585326
"P19823" 3.08955649545052 1.72378064659439 7.70252827961775 8.31036650406022e-10 4.03372404927846e-08 12.3039427723025
"TUBB1" 2.86494930560739 1.29215683445709 7.40433306707147 2.30452070770478e-09 1.03868040468694e-07 11.3118015384555
"KRT16" 4.06162724188696 2.30697925096178 6.74330599353691 2.24561613637783e-08 8.89160948873864e-07 9.09718341410936
"P13647" 4.48433750678394 2.44539382196407 6.74214923884355 2.25460779429189e-08 8.89160948873864e-07 9.09329730680972
"TUBA1B" 3.74244537474716 1.66164867095912 6.59333849657095 3.77051332850866e-08 1.35100672404428e-06 8.59327554646555
"VTN" 2.18842962208589 1.30500717022259 6.58700973759793 3.85390190694089e-08 1.35100672404428e-06 8.57200807354457
"P68104" 2.97862811708428 1.79940580014137 6.50617596141566 5.09622309156736e-08 1.69248251093632e-06 8.3003776863321
"POTee" 3.371253580923 1.22222899345803 6.44561820953482 6.28289452936067e-08 1.98225322401329e-06 8.0969086025808
"P01024" 4.21019816236123 2.16965196404416 6.18884031998796 1.52573585510876e-07 4.55308990218419e-06 7.23488080682283
"P07996" 3.90974638155915 1.8511055360765 6.17735664110007 1.58744814339227e-07 4.55308990218419e-06 7.19637177784019
"PKM" 2.26162901290712 1.39826985526521 5.97708233608718 3.16757972522747e-07 8.69018611573275e-06 6.5256849905707
"COL6A1" 2.12937581551921 0.906037327762269 5.9575750789043 3.38778042462393e-07 8.90703936640709e-06 6.46046667340086
"P11142" 2.87545129058368 1.29353643577238 5.88919572056896 4.28712257999176e-07 1.08206973918992e-05 6.23203692830766
"APOA2" -2.92909339940784 2.08661494538222 -5.7963021897222 5.9006606155616e-07 1.4051654092107e-05 5.92221675319415
"P68371" 3.295131549419 1.45345865388749 5.79083304301521 6.01259366857193e-07 1.4051654092107e-05 5.90399563228833
"P07900" 3.2466907859726 1.26570801424459 5.76747648395991 6.51487408040546e-07 1.46817340883423e-05 5.82620659458451
"FBLN1" 2.95316002212105 1.2055395696611 5.74201244788396 7.11011782892306e-07 1.52311597048955e-05 5.74144816648371
"P68032" 4.20407336998704 1.87318986533482 5.73668071146573 7.24143884543367e-07 1.52311597048955e-05 5.72370790720361
"Q04695" 3.4601627273307 2.00730714342483 5.71477682088197 7.806715944354e-07 1.58904443899593e-05 5.65085220402139
"C4A" 3.2039860090128 1.69571761681544 5.64853995805952 9.79695595706439e-07 1.93183725278363e-05 5.43079344315183
"P02788" 2.30802018138482 1.24423163318215 5.52497998517805 1.49507663125488e-06 2.85876774036918e-05 5.02141327236429
"P63104" 1.95144771731261 0.884129142970355 5.50436557693546 1.60411106402212e-06 2.97704141587635e-05 4.95326835942416
"LYSM" -2.51369038477896 1.03729602438514 -5.44758507395822 1.94692837048505e-06 3.5100337193602e-05 4.76581678677024
"P02771" 2.4147975521799 1.20445681963199 5.41303038773939 2.19014429529874e-06 3.83883625092641e-05 4.65192522578839
"MYH9" 3.43434526665461 1.83979858127324 5.31329429197488 3.07414020628496e-06 5.24265532477247e-05 4.32403755064545
"K2CA" -3.23751542384483 0.49157497204076 -5.24779004175092 3.83856502131011e-06 6.37403823275442e-05 4.10941564198745
"TUBB" 3.23902255388818 1.37916446976825 5.21150052566768 4.34012974317571e-06 7.02210735370225e-05 3.99077929832991
"H1-3" -2.91695529635597 1.0433624240056 -5.19564301891476 4.57915677494341e-06 7.22361981247322e-05 3.93900000365892
"KRT6A" 4.12158234810949 2.4219735959836 5.14960284254484 5.34938319542603e-06 8.23283121052153e-05 3.78888401088653
"P01023" 4.66541614734684 2.29391897658004 5.09000752030905 6.53907371551214e-06 9.82417979640038e-05 3.59507115957701
"P01008" 3.47039576342094 1.58182119686144 5.06600726929111 7.08887568930982e-06 0.000104025129301267 3.51718438202816
"H1-2" -2.91695529635597 1.01099196772226 -4.9868183002517 9.24699084857041e-06 0.000132610255123817 3.26090309199027
"KRT13" 2.3575504617051 1.5651524960697 4.81823786648188 1.62283211790176e-05 0.00022755712586578 2.71921480786835
"eHD3" 1.56390897803243 0.929085257842862 4.7996913938522 1.72591142979321e-05 0.0002367500243912 2.65996752392465
"UBA52" -2.88132808924363 1.27572881511371 -4.72882999236981 2.18249078692187e-05 0.000293010997137808 2.43427423249363
"KRT3" 2.49580882350221 1.58048859238809 4.55975464191629 3.80581753939034e-05 0.000500306430699021 1.90037721711376
"PGLYRP1" -3.73010772933135 1.52650722953648 -4.54615709383068 3.97885347703422e-05 0.000512378886532365 1.85773891963114
"APOB" 3.77419281314885 1.56865439369341 4.52038604092389 4.32820377343994e-05 0.000546219316208121 1.77705588964398
"CKM" -2.80355367847987 1.31106230670835 -4.42016962509342 5.99548126569794e-05 0.000741793858559883 1.46494697625383
"RNASe4" -2.84150576750222 0.790744822982162 -4.40278251533366 6.34269235466847e-05 0.000769661322268423 1.41107224638316
"KRT222" -2.62548749506415 0.871570823600914 -4.36013318964453 7.27969848737065e-05 0.000866696178402053 1.27927746212017
"CHI3L1" -2.42286542719355 0.759499594345939 -4.28607963090032 9.23745269797313e-05 0.00107941345415204 1.05167334153085
"APOC3" -2.863474823457 1.19778688740857 -4.26924433638255 9.74952954007423e-05 0.00110745306627014 1.0001548549407
"KRT6C" 4.01709786471813 2.16427141361773 4.26672740653364 9.82842657862566e-05 0.00110745306627014 0.992459973991471
"CATHL4" -2.59195505338169 0.921576588262768 -4.22522429588744 0.000112227486126704 0.00124237796045527 0.865851661390355
"P04406" 2.2191219620645 1.46040235764334 4.19735211990032 0.000122653594125906 0.00133438651540425 0.781122955132824
"CAPNS1" -2.27062219511522 0.739184125827107 -4.15356164205259 0.000140964755424586 0.00150760611310024 0.648497743665772
"LBP" -3.11842486972932 1.85962211188047 -4.14406615757472 0.0001452726494198 0.00152778402973156 0.619820271992538
"HBA1" 2.3308321271137 1.70191375070829 4.06586264817011 0.000185965448895815 0.00192367538120097 0.384760510886076
"KRT71" -2.88481473214783 2.06923573706999 -4.04247389952344 0.000200151307437269 0.00203702379020834 0.314857600744949
"KRT7" -2.48714923864189 3.18158863035919 -3.99597381176901 0.000231538018006784 0.00231905538670287 0.176440047446374
"DSG1" -2.68672450030908 1.03087995997917 -3.98876575298211 0.000236811945711223 0.00233481777724659 0.15505126569674
"LRP1" 1.88417810741207 0.614868001325349 3.96523396052954 0.000254852018497947 0.00247402497957238 0.0853524029287716
