"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P50395" 1.44973372585986 0.305060164883725 5.04737938565347 7.54684167465137e-06 0.00476205709670501 3.63172597353035
"S100A9" 2.41725209578432 0.734901277775447 4.58834736617608 3.46566928888509e-05 0.00758741375895673 2.21618402641996
"MFGe8" -1.309417834897 0.28800563179801 -4.57611919998469 3.60732825306976e-05 0.00758741375895673 2.1790481243637
"ANXA5" -2.13438441353514 0.794981727204845 -4.46712815691976 5.14798896279723e-05 0.00790676980014261 1.84957256704402
"POTeI" 2.38091809016491 0.510637212644928 4.40657756659219 6.26526925526356e-05 0.00790676980014261 1.66776526400926
"eHD3" -1.37937778312597 0.929085257842862 -4.23335869768461 0.000109350929718906 0.0115000727754383 1.15293644238495
"KRT6C" 3.86122279728461 2.16427141361773 4.10116598766575 0.000166383882562266 0.0149983185566842 0.765741041357469
"P02788" 1.61531829428508 1.24423163318215 3.86677782005452 0.000345839910571979 0.0272781229463649 0.0927747301670525
"eDIL3" -1.92209454997429 0.874239341804051 -3.72614112895937 0.000531950431400996 0.0372956358015587 -0.301833096114806
"AKR1A1" -1.49364576633456 0.457750447432581 -3.67027673901017 0.000629983256556006 0.039751943488684 -0.456513961687826
