"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P02768" 7.54882192013912 3.23301415862248 19.547745701717 7.11150637148126e-24 4.48736052040467e-21 42.9082056971843
"P13645" 5.58084663986648 2.97643993189695 17.3101595445134 9.76213935747471e-22 3.07995496728327e-19 38.4531307273182
"P63261" 4.41611624664428 2.45979019689723 16.5632195214018 5.61487471506739e-21 8.8574648630188e-19 36.8459464366984
"P60709" 4.41611624664428 2.45979019689723 16.5632195214018 5.61487471506739e-21 8.8574648630188e-19 36.8459464366984
"KRT1" 5.82141873393033 3.24960602826261 15.1316430131786 1.89102891263901e-19 2.38647848775043e-17 33.5822871580008
"KRT9" 5.08846896615925 2.75795260815414 13.9053117607237 4.6208438262716e-18 4.8595874239623e-16 30.5824993545183
"TLN1" 4.90398864307282 2.71389669310979 11.4409503555321 4.96572486270275e-15 4.47624626909348e-13 23.9402771799088
"eeF1A1P5" 3.29703444046262 1.86671378928113 9.28441341028753 4.21264420636875e-12 3.32272311777335e-10 17.4361291710091
"P19823" 3.4513454623675 1.72378064659439 8.60449908126362 3.96272813010817e-11 2.77831272233139e-09 15.2617467937456
"KRT2" 5.63351737724362 2.86031237617989 8.33663932684223 9.70961920086335e-11 6.12676971574478e-09 14.3912300751073
"VTN" 2.74813748510439 1.30500717022259 8.27168860810189 1.20787851198758e-10 6.92883037331055e-09 14.1790705629425
"P01024" 5.53577756149107 2.16965196404416 8.13739450112399 1.89933989737619e-10 9.98736229370315e-09 13.739142389678
"KRT14" 4.4456101649536 2.44276934440136 7.9320652549836 3.80594265088957e-10 1.84734600977794e-08 13.0634055548552
"C4A" 4.40673929213392 1.69571761681544 7.76896119594445 6.62653070999098e-10 2.98667205571736e-08 12.5241588569133
"P68104" 3.29703444046262 1.79940580014137 7.20166646432367 4.62282647044981e-09 1.94466900190255e-07 10.6345862945508
"MYH9" 4.63325388830374 1.83979858127324 7.16813235903183 5.18818707311918e-09 2.04609127696138e-07 10.5223442912865
"P13647" 4.51040644695351 2.44539382196407 6.78134358691745 1.96912603341372e-08 7.30893251225916e-07 9.22496053443538
"KRT16" 3.94835825397957 2.30697925096178 6.55525145294276 4.30105459321966e-08 1.50775858240089e-06 8.46528642726186
"P01023" 5.86527466188066 2.29391897658004 6.39906306206541 7.37982233408771e-08 2.45087783832071e-06 7.9405159420538
"KRT6A" 4.78798547584324 2.4219735959836 5.98222273243558 3.1119672795882e-07 9.81825676710077e-06 6.5428744271217
"Q04695" 3.43923131729453 2.00730714342483 5.6802066730799 8.78938952218988e-07 2.64100228023896e-05 5.53595072664838
"HBA1" 3.24243856864769 1.70191375070829 5.65605292285713 9.54798873636382e-07 2.73853676938435e-05 5.45573378923302
"FLNA" 3.25680851215997 1.75658537855711 5.43381544071576 2.04045977339795e-06 5.59795703049613e-05 4.72041513352013
"P68366" 2.360887226584 1.76508982753113 5.41037822536705 2.21001061302994e-06 5.81048623675787e-05 4.64318973622515
"KRT3" 2.90334538836584 1.58048859238809 5.30430956370712 3.16931406047001e-06 7.99934868862631e-05 4.29456414333606
"FBLN1" 2.69756218268709 1.2055395696611 5.24503769382782 3.87450691912169e-06 9.40313025371456e-05 4.10041100989541
"P68032" 3.77912999466978 1.87318986533482 5.15682297585843 5.22063558295861e-06 0.000122008187142477 3.81240373601964
"P01008" 3.49875858437614 1.58182119686144 5.1074106903796 6.1669484141348e-06 0.000138976587475681 3.65160897350493
"KRT6C" 4.65789829965337 2.16427141361773 4.94734830996505 1.05529633275222e-05 0.000229617926195397 3.13358671152208
"KRT13" 2.31588127022527 1.5651524960697 4.73307656049286 2.15206420478638e-05 0.000452650837740068 2.44776872971902
"APOB" 3.89137670752065 1.56865439369341 4.66073828750068 2.73219154217692e-05 0.00055613318164956 2.21845109119042
"P02771" 2.06265110093632 1.20445681963199 4.62365595765711 3.08654620837e-05 0.00060862833046296 2.1013659070502
"FTH1" -1.50274174770358 0.282484824372127 -4.60548269472446 3.27629912283354e-05 0.000626468105002414 2.04410439738431
"QSOX1" 1.14797405069727 0.805070645396471 4.56116972889663 3.78823919546592e-05 0.000703052627158528 1.90481721265707
"KRT79" -3.78633127381225 2.41563447401021 -4.50090882882271 4.6119972502692e-05 0.000831477218548534 1.7161901557567
"P02647" 3.1352331248935 0.803771327597334 4.39709752201622 6.46042450938887e-05 0.00113236885150677 1.39347513919224
"P02787" 3.94758678463536 0.814725741700157 4.33817596077093 7.8135000050593e-05 0.00132797540008797 1.21162599229448
"POSTN" 2.61640065788229 0.858096457429997 4.33095268337695 7.99731619704324e-05 0.00132797540008797 1.18940092919944
"P00738" 3.1337092658773 0.333793307575117 4.3026176291954 8.75999398062844e-05 0.00141732210301963 1.10236413363298
"COL10A1" -2.22364715061179 0.836743477537966 -4.27388295732808 9.60573895398703e-05 0.00151530531999145 1.01434125761268
"APOD" -2.38736305203394 2.04941190125326 -4.2301038483903 0.000110493214175218 0.00169513050901673 0.880709787700323
"CFD" -2.49677997352834 1.75420206290034 -4.22354732843772 0.000112829605988435 0.00169513050901673 0.860747028401044
"PZP" 3.92306453544523 1.58382233784497 4.0125393260055 0.000219845243972046 0.00316607300863522 0.225664714499263
"TUBA1B" 2.27679492204201 1.66164867095912 4.01119538299501 0.000220772127385023 0.00316607300863522 0.221667593234865
"A1BG" -1.41599009424147 4.15117798268516 -3.99666563661399 0.000231037857277003 0.0032396641764842 0.178493890783503
"P35900" 1.34459538756832 0.909107359925009 3.98325681962914 0.000240920946231965 0.00330480689287761 0.138716730946893
"P35580" 1.86797990811533 0.441271939685429 3.92544373883812 0.000288424723731904 0.00387225533350705 -0.032050636431773
"PKM" 1.47604107261538 1.39826985526521 3.90091344430011 0.000311212903296723 0.0040911529579215 -0.104141144621291
"Q5XKe5" 2.46358919899222 1.3958302434628 3.88208736747964 0.000329872812540595 0.00424795397373706 -0.15931702755883
"APOA2" -1.93086170605804 2.08661494538222 -3.82092900729541 0.000398248930808181 0.00498028764644561 -0.337640376231931
"P07996" 2.41612281721272 1.8511055360765 3.81744769968185 0.000402527210726982 0.00498028764644561 -0.347748063432724
"P68133" 3.77912999466978 1.11980822651831 3.79460882228088 0.000431713891772058 0.0052386820328494 -0.413942277808732
"HSP90AB1" -3.22496123925551 1.67089272268817 -3.75323958399377 0.000489854496103761 0.00583204126493345 -0.53332219661239
"P01009" 3.0030386908866 0.384859138319171 3.74632287110042 0.000500283728590828 0.00584590801371875 -0.553215561230458
"IGHG1" 3.14347100401484 0.493334150531808 3.72011672203176 0.000541771145791754 0.00621559259990176 -0.628413330858879
"IGHG3" 2.93483060351221 0.378716402118438 3.6951692080454 0.000584327703599469 0.00651854875367918 -0.699740409426571
"AKR1A1" -1.50274174770358 0.457750447432581 -3.69262793471511 0.000588838793913967 0.00651854875367918 -0.706991818935705
"P02790" 2.67035385992394 0.311598705911339 3.66770129823702 0.000634897906275198 0.00690725135964913 -0.777977399340247
"POTee" 1.90987315582123 1.22222899345803 3.65155361220043 0.000666561684281329 0.00708423496157957 -0.823824442800987
"IGHG2" 2.95337401875963 0.404079427542237 3.64805468837866 0.000673619806172384 0.00708423496157957 -0.833744293985684
"P06396" 2.73407090829212 1.8637240805787 3.62697536776155 0.000717683631330558 0.0074239077273702 -0.893397273352892
"POTeF" 2.7421106246174 0.49537561069465 3.59803355569142 0.000782708302259259 0.00790509087822782 -0.974992425897428
"COL6A1" 1.28360998521933 0.906037327762269 3.59128849085325 0.00079865473300804 0.00790509087822782 -0.993956970799327
"F12" -2.33333748479937 1.40352742793015 -3.58997995295124 0.000801784177823424 0.00790509087822782 -0.99763380247579
"P02649" 1.61744897672264 0.591694934187602 3.57425136976428 0.000840331355560514 0.0080494338881113 -1.04177108411992
"IGKC" 2.62284085263677 0.647521334386395 3.57361106181014 0.000841937617456966 0.0080494338881113 -1.04356562588017
"MYH14" 1.31289426744305 0.505922711842503 3.56175072646564 0.000872227206929606 0.0082145577249639 -1.07677328445815
"KRT76" 3.01139878897461 1.50032032286503 3.50100347084303 0.00104444133434136 0.00969180120543235 -1.24588428124228
"P09429" 2.01494930013303 1.13960692870907 3.48062730738783 0.00110915896926231 0.0100026687207504 -1.30223772925833
"TUBB1" 1.346697074046 1.29215683445709 3.48047822597447 0.00110964629231779 0.0100026687207504 -1.30264934228038
"TTR" -1.45104029557297 3.61322770476154 -3.47519038890117 0.00112706419569522 0.0100165846124462 -1.31724247949255
"TLN2" 2.30294929727825 0.966455129892931 3.46805551894249 0.00115098018939387 0.0100870624931602 -1.33691273094591
"ORM1" -1.52710109958162 3.86425014046426 -3.43995900606983 0.00124995200214077 0.0108043796349428 -1.41414501042087
"P02763" 1.69352132402635 0.32012740065791 3.43463497843663 0.00126959890203996 0.0108259041511786 -1.42873866120068
"CP" 2.52983505343221 0.486714698212137 3.42156755476624 0.00131907628645707 0.0110978284900588 -1.46450170514432
"GPX3" -1.40764342477591 0.481329126730382 -3.39179973856811 0.00143873500698816 0.011945286702757 -1.5456714135641
"KRT6B" 3.27696537793108 2.22641661277503 3.37415261456643 0.00151447717301433 0.0124108454048317 -1.5935928231043
"APOH" -1.57928936966996 3.60746490795528 -3.36248835538777 0.00156660655424943 0.0126734453298897 -1.62518589629337
"SeRPIND1" 1.73495259131912 0.688028441939677 3.33935217324338 0.00167509552696645 0.013379560474884 -1.68765731658331
"C5" 2.29760834223343 0.771532167322534 3.32752472715311 0.00173327682947561 0.0136712209924888 -1.71949311704357
"PYGB" -1.50271238875445 0.383107542668964 -3.32283827200177 0.00175685696387174 0.0136861326444824 -1.73208873106916
"P01042" 1.84138329618184 0.328975594078848 3.31422371115767 0.00180099811395201 0.0138589001207771 -1.75521374028833
"P02774" 2.56490702650296 0.817341281900046 3.29760890077772 0.00188912191510783 0.0143618786558197 -1.7997117024734
"P02751" 3.14615779861178 0.622009498720353 3.2894563190003 0.00193384385410702 0.0145268508564468 -1.82149618181315
"COL1A2" -2.18870032556134 1.33481183586698 -3.27715089346062 0.00200325213077864 0.0148712011120155 -1.85431497015869
"P00734" 2.64268277572642 0.971546688862607 3.2517973235036 0.00215376980248785 0.0158026598298818 -1.92169483073948
"IGHA1" 2.37775464483615 0.533600844183805 3.24053841381156 0.00222398998374337 0.0161303181579548 -1.95151288611215
"CKM" -2.0308097261881 1.31106230670835 -3.20183755886141 0.00248224057093539 0.0177987931847754 -2.05351637720856
"GC" -0.997554766249868 4.99867536177431 -3.1677989823984 0.00273255892615368 0.0193735357573368 -2.14259439095187
"P26038" 1.8217787252823 1.1333406550057 3.11368053064535 0.00318012399856993 0.0221286845985305 -2.28297130728657
"RAB1B" -1.68741341596407 0.359511205731281 -3.11242320265945 0.00319129999756937 0.0221286845985305 -2.28621420743894
"ADIPOQ" -1.44970564910145 2.93752513994763 -3.08333387910157 0.00346041907187883 0.023733961242995 -2.36100461934736
"IGHG4" 2.12268817168094 0.354738482674643 3.04759771429599 0.00382023986408939 0.0259201220886065 -2.45225756119322
"CNTN1" -2.00630086353456 0.660028748805807 -3.04005416453927 0.00390055385692238 0.0261835051459364 -2.47143094291019
"Q86Y46" 2.3993198033792 1.05126095261204 3.02934974139295 0.00401724221537076 0.0266829456620942 -2.49858453470872
"FTL" -1.72005983243422 0.686434797671335 -2.96420872653927 0.00480088231108258 0.0315557993572199 -2.66245109424048
"P26583" 1.74211465401006 1.11725100709765 2.95813206707166 0.00488084960353505 0.0317506814415527 -2.67761562702889
"RAB8A" -1.05784428377008 0.302377082886402 -2.94136698292449 0.00510797259683206 0.0324669674157047 -2.71934459916575
"P02765" 2.7362425990267 1.06939274474532 2.94038067647024 0.00512163707229959 0.0324669674157047 -2.7217945603584
"ATIC" -1.61357039423943 0.543629985578278 -2.93867705772192 0.00514531971722736 0.0324669674157047 -2.72602499704562
"Q14624" 2.18511572106884 0.627085872180991 2.93318136164219 0.00522241588559675 0.0326271725129856 -2.73966061511697
"LGALS3BP" -1.75644138227169 0.705418077214483 -2.91786179584571 0.00544305277791333 0.0336722186555227 -2.77757910973959
"SeRPINF2" -1.27565039958242 4.3277909011828 -2.90092249704246 0.00569711800983921 0.0349017617884324 -2.81934904850506
"YWHAB" -1.74589527212986 0.691992842911427 -2.88059055357176 0.00601664489613888 0.0363481226528641 -2.8692646664271
"SePTIN7" -1.4235579451944 0.378903709138505 -2.87862395575222 0.00604841977583317 0.0363481226528641 -2.8740799312846
"LPA" 1.28769678514826 0.288490087895019 2.86694034361137 0.00624043638791713 0.0371482581205255 -2.90264080261374
"MBL" -1.15070437009291 0.373473500404577 -2.86143449467015 0.0063328745424194 0.0373462040772583 -2.91607217334547
"ACe" -1.28732659334102 0.353554485651329 -2.85391053186668 0.00646125375101581 0.0377504733045461 -2.93439778326693
"Q0VCM4" -2.05460611715536 0.998684414612892 -2.82847185574436 0.00691342864734128 0.0400217750135078 -2.99610872362858
"TUBA8" -2.45824238238442 0.601496485451664 -2.815960983362 0.007146423152466 0.0409944819018731 -3.02631708451748
"MAPRe2" -1.0981309167546 0.42282012260482 -2.80559475613577 0.00734496958544327 0.0416766425134202 -3.05127600538904
"P04406" 1.48188044822578 1.46040235764334 2.80289869017055 0.00739743892472751 0.0416766425134202 -3.05775678037139
"KRT71" -1.99598461513921 2.06923573706999 -2.79696148963549 0.00751421191388971 0.0419598913067646 -3.07201312073077
"SYNCRIP" 1.36507689050729 0.978798074633221 2.7916967085296 0.00761918531675782 0.0421728590778437 -3.0846370601963
"CHIA" -1.97425082844456 2.43697362564595 -2.78485107517064 0.0077577094938991 0.0425662147013072 -3.10102651218979
"AZGP1" 1.38833438255773 0.618569799322471 2.76421684848871 0.00818947423736099 0.0445479158946102 -3.15025573909622
