"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FLNA",-3.74020359106128,1.94622889739667,-6.30172921791095,9.34743544479944e-08,3.63615238802698e-05,7.75064526214514
"eDIL3",-3.08707153269594,1.05310899536172,-6.08248619195656,2.01062760977111e-07,3.91067070100481e-05,7.02846873239524
"P06733",-2.84097948466188,1.16215827316113,-5.89835135168581,3.81980443792246e-07,4.95301308783945e-05,6.42335058484049
"P68366",-2.32578760331905,1.95366699123422,-5.38122714716501,2.28652254806352e-06,0.000205389117106832,4.73688492985198
"P26038",-2.96800581831309,1.29594388763761,-5.33936049818861,2.63996294481789e-06,0.000205389117106832,4.60152757557655
"MYH9",-3.38478346215211,2.01663136304521,-5.2486802896647,3.6014841662844e-06,0.000233496223447438,4.30912528493997
"TUBA1A",-3.60315402577732,1.4003424540644,-4.6980263475529,2.31206824924184e-05,0.00128484935565011,2.56188054235529
"TUBA1B",-2.43831777374013,1.83936878995559,-4.52771874389482,4.06226060002788e-05,0.00197527421676356,2.03385329278151
"P68371",-2.48052558893229,1.62509992330438,-4.40969073661988,5.98029193029825e-05,0.00258481506765113,1.67210951041641
"P11142",-2.03288312484038,1.4286386572736,-4.26882633979547,9.44508671149288e-05,0.0036652766548542,1.24531769913651
"H2BC18",1.6858283530128,0.923136078527918,4.22492722670365,0.000108791858436218,0.0036652766548542,1.11348378648366
"KRT3",2.3855311838507,1.68289539879105,4.2129267532666,0.000113067660303986,0.0036652766548542,1.07754592205654
"SYNCRIP",1.98736547815313,1.12831937205131,4.14655962146663,0.00013983332773462,0.00418424342221287,0.879597645891583
"TUBB",-2.4536024265489,1.55550919138058,-3.99313843769395,0.00022738824759106,0.00631814487949444,0.427439148943215
"eeF1A1P5",1.52404476925036,1.9684402153512,3.72571911407426,0.000521189382684051,0.0135161779909397,-0.340795165928347
"ATIC",-1.69405481415498,0.705165706461896,-3.69034116825935,0.000580559435647255,0.0141148512791739,-0.440374852551821
"CCN2",1.8532927521788,0.848101510689783,3.63308064821803,0.000690644838601803,0.0158035789538883,-0.600468052461176
"P09429",2.01461486578013,1.26815882585194,3.56787199717704,0.000840385437920119,0.0169602784089047,-0.781114244367139
"P08727",2.5883096386075,1.416951926209,3.55407503779993,0.000875829390247797,0.0169602784089047,-0.819102813885713
"KRT13",1.77536782866382,1.66250528245446,3.53175310518433,0.000936219855393255,0.0169602784089047,-0.88038902121984
"P07900",-2.08852836152663,1.43066996680378,-3.52699453239396,0.000949598888746502,0.0169602784089047,-0.893425810933302
"Q13509",-2.32778820859672,1.07733684802175,-3.5236214015203,0.000959193123382786,0.0169602784089047,-0.902660962405957
"Q86Y46",2.53546331560367,1.1857206287167,3.49482022981534,0.00104497019427765,0.0176736263293046,-0.981309831144883
"LIMS1",0.998041659500049,0.815161218650176,3.45099299986276,0.001189684615256,0.0192828048056077,-1.10027985429157
"P15311",-1.61302586716773,0.943878802764833,-3.43342421121558,0.00125290095987719,0.0194951389356891,-1.14772632664487
"H4C1",1.50401877171913,1.01386474095244,3.41164095391413,0.00133573100492943,0.019984590804521,-1.20635772693541
"P62979",1.24860789822916,0.826696115854738,3.37756869473055,0.00147582376897766,0.0209189765447673,-1.29762436196816
"SeRPINA3-4",-3.00452076040454,4.36803406739786,-3.36188751204369,0.00154489422988836,0.0209189765447673,-1.33944529928978
"FN1",-2.97570386283243,3.71655401057699,-3.33259191051828,0.00168224004427112,0.0209189765447673,-1.41726251751772
"SeRPINA3-2",-1.85215303586769,4.76093658631639,-3.32829392541904,0.00170333989088198,0.0209189765447673,-1.42864463866774
"P62826",1.03377751462995,0.922613212676283,3.32324857090134,0.00172842921064792,0.0209189765447673,-1.44199464453381
"P0DMV8",2.05507551639457,1.01534727561345,3.31413935879484,0.00177461754749954,0.0209189765447673,-1.46606653368169
"P0DMV9",2.05507551639457,1.01534727561345,3.31413935879484,0.00177461754749954,0.0209189765447673,-1.46606653368169
"LYZ",1.26619148109128,0.816234948298071,3.27656058682708,0.00197782698502175,0.0226286675639253,-1.56494557721222
"FHL1",1.19707359312631,0.837231346343477,3.19828252678437,0.00247399074788007,0.0274966400264385,-1.76867161400535
"P68104",1.52404476925036,1.89863603467514,3.17362196940732,0.00265323406252421,0.0282081914508844,-1.83221256483175
"P35900",1.11237347077692,1.05611255282155,3.16967420360525,0.00268304134622808,0.0282081914508844,-1.84235554303436
"Q14CN4",1.82197386670625,1.17514041604347,3.1311679932347,0.00299080836906529,0.0296886477241829,-1.94086680159286
"KRT8",2.26214770328581,1.48481870418941,3.13052610411892,0.00299620990693386,0.0296886477241829,-1.94250242562239
"TUBA1D",-3.60315402577732,1.84952967490154,-3.12386394710825,0.00305281724670262,0.0296886477241829,-1.95946580799847
"H2B1",1.6858283530128,0.994790927341528,3.10050615770237,0.00325933472191548,0.0304132698470869,-2.01875584523418
"P13647",2.05293903597207,2.60010411438863,3.09784331216634,0.00328369494492969,0.0304132698470869,-2.02549676671377
"HMGB1",2.01461486578013,1.48550073254135,3.08809477464004,0.00337434419781458,0.0305260440220901,-2.05014283471245
"H2BC12",1.6858283530128,1.06456876744601,3.07594062360262,0.00349065648717542,0.03086057667071,-2.08079988768981
"P63104",-1.02534924672179,1.02876247999891,-2.99555484545091,0.00435990381646565,0.0376889463245586,-2.28155424864678
"KRT14",1.67451981393025,2.59721950884683,2.98616545621747,0.00447371364566709,0.0378320566992282,-2.30477268307361
"UBB",1.04839896709961,0.754972106198902,2.96320172773322,0.00476386836851908,0.0386071832365401,-2.36135208018465
"P0CG48",1.04839896709961,0.754972106198902,2.96320172773322,0.00476386836851908,0.0386071832365401,-2.36135208018465
"TBA1B",-2.43831777374013,2.90659736747237,-2.90136730903085,0.005634866246211,0.0447339381586955,-2.5122305000591
"Q7RTS7",1.80299195451801,1.27703309365531,2.87620048612918,0.006030110339784,0.0469142584435195,-2.57301481130506
