"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ALB",-8.24535731191653,7.89886994691184,-32.1895416100827,1.05947166607144e-33,4.1213447810179e-31,59.1649100118932
"P13645",7.28836940211891,3.13597377247352,19.7701537329686,1.96635772875443e-24,3.82456578242736e-22,42.9749041715902
"KRT1",8.30677429475642,3.40895010581031,19.1250044225853,7.90933190886852e-24,1.02557670418329e-21,41.8021144225451
"A2M",-7.13165906743338,6.92086440788217,-18.1114995075266,7.59358059032652e-23,6.03724867100039e-21,39.8718986869087
"P63261",5.45335537133047,2.61637983050475,17.9555110949618,1.08474086655692e-22,6.03724867100039e-21,39.5649196701173
"P60709",5.45335537133047,2.61637983050475,17.9555110949618,1.08474086655692e-22,6.03724867100039e-21,39.5649196701173
"TF",-6.62336406907147,6.50277193165561,-17.9548470327034,1.08639436239082e-22,6.03724867100039e-21,39.563607037651
"SeRPINA1",-6.46915121356716,6.35969402538638,-17.5910409115582,2.51869372278793e-22,1.22471482270563e-20,38.8370293770645
"AHSG",-6.14202039623934,6.33992813471078,-17.0931830207782,8.1302517104591e-22,3.51407546152066e-20,37.8181861340878
"KRT9",6.60091450235829,2.91951637462526,16.3018044207912,5.51695946835378e-21,2.14609723318962e-19,36.1383088868971
"AFP",-5.58974377714012,5.71185561573929,-15.6533427870352,2.78400286576852e-20,9.84524649803596e-19,34.7044293177205
"P02768",6.90331674604835,3.38571285078241,15.2467170406927,7.86600876938042e-20,2.54989784274082e-18,33.7780014183911
"APOA1",-7.07952631752193,5.73016030923517,-15.0858994355835,1.1923223731596e-19,3.56779540891603e-18,33.4056711510622
"C3",-6.6290561640122,6.67762398894577,-14.9248964670033,1.81355040089747e-19,5.03907932820798e-18,33.0294991634645
"ACTB",-4.72182942734805,4.64889836020568,-14.6233507870194,4.01017895331228e-19,9.74974758024047e-18,32.3156758406432
"ACTG1",-4.72182942734805,4.64889836020568,-14.6233507870194,4.01017895331228e-19,9.74974758024047e-18,32.3156758406432
"GC",-5.09919624616865,5.06743320271011,-14.4021166816309,7.22694582753649e-19,1.60156955023486e-17,31.7841831945574
"HBBF",-5.20965742920921,5.11778033064974,-14.3927253536933,7.4108616720379e-19,1.60156955023486e-17,31.7614744720369
"TLN1",6.19715939899886,2.87545084798534,13.258970196366,1.66521638209022e-17,3.40931143491103e-16,28.930260189057
"GSN",-4.57988549046555,4.70798588107988,-11.735836975207,1.40376481787125e-15,2.73032257075958e-14,24.8377294357743
"HBA",-4.68444989804404,4.58751823349648,-11.4390879942962,3.44800358795355e-15,6.38701617006634e-14,24.0009805967506
"ITIH4",-5.35294738634136,5.57714384362311,-11.4094049635292,3.77465941699112e-15,6.67428415095248e-14,23.9165731869865
"FeTUB",-4.82746044031952,4.59737110107439,-11.3826273219496,4.09621340788546e-15,6.92794354638019e-14,23.8403169952246
"SeRPINF1",-4.19121513653263,4.44950328492584,-11.1308636631058,8.8749358674648e-15,1.43847918851825e-13,23.1182314661689
"P68366",5.23761995765432,1.95366699123422,10.7852337599936,2.5996190326071e-14,4.04500721473665e-13,22.1119013053646
"A1BG",-4.26398102126742,4.21514638674972,-10.7407872078033,2.98822492383707e-14,4.47084421297162e-13,21.9812368959825
"eeF1A1P5",4.82471201670967,1.9684402153512,10.4970698597893,6.44343018822923e-14,9.28331238230064e-13,21.2597115494326
"AGT",-4.64866790872963,5.18031301631619,-10.0964318235154,2.31597781644128e-13,3.2175548949845e-12,20.0553004253168
