"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P02768",7.3287633105386,3.38571285078241,18.187161744206,6.39270131056398e-23,2.48676080980939e-20,40.587816208199
"P13645",5.44944823200622,3.13597377247352,16.6091686467382,2.60224762622604e-21,5.06137163300965e-19,37.2665063981654
"P63261",4.26712336227778,2.61637983050475,15.7864640089096,1.98944716427748e-20,1.93473736725985e-18,35.4191977137518
"P60709",4.26712336227778,2.61637983050475,15.7864640089096,1.98944716427748e-20,1.93473736725985e-18,35.4191977137518
"KRT1",5.67064295064232,3.40895010581031,14.6695614377185,3.54855052360141e-19,2.7607723073619e-17,32.7757077286847
"KRT9",4.94803985208084,2.91951637462526,13.730313486006,4.47999117421653e-18,2.90452761128372e-16,30.4257699457668
"TLN1",4.75963017479332,2.87545084798534,11.4421076675061,3.41642147808152e-15,1.89855422139102e-13,24.187391431012
"KRT2",5.48927599409563,3.01917522849957,8.14335755148329,1.54430168986217e-10,7.50916696695481e-09,13.9226479202196
"P01024",5.33433954149567,2.31548225916967,7.92411472028752,3.28047808246576e-10,1.41789552675465e-08,13.1957727893524
"KRT14",4.31912893059997,2.59721950884683,7.70228784766372,7.05639374808721e-10,2.74493716800592e-08,12.4564347694997
"eeF1A1P5",3.09511064070239,1.9684402153512,7.56638722621751,1.12999942681359e-09,3.99608888209534e-08,12.0017680632621
"P19823",3.26855684645778,1.84784059236717,7.48491860241981,1.49933221296969e-09,4.86033525704341e-08,11.7286487127797
"C4A",4.15969302683532,1.81106546131638,7.20529056552199,3.96816933245086e-09,1.18739836178722e-07,10.7884851870795
"MYH9",4.49807492122799,2.01663136304521,6.97502733763461,8.86559018263305e-09,2.46336755788876e-07,10.0118279179388
"VTN",2.50264807511363,1.40921416454494,6.69160297151542,2.38903503022413e-08,6.19556417838125e-07,9.05409283507796
"P13647",4.3684887352717,2.60010411438863,6.59196078193697,3.3858924340584e-08,8.23195098030448e-07,8.71721110211664
"P68104",3.09511064070239,1.89863603467514,6.44515917462912,5.65972341287545e-08,1.29507788682856e-06,8.22097801364421
"P01023",5.64874443446408,2.44612252397125,6.26734591895683,1.05414634511775e-07,2.27812737917113e-06,7.62041418024064
"KRT16",3.78652067416132,2.4557089568436,6.21177485023738,1.28012616161542e-07,2.62088987825473e-06,7.43290962969318
"KRT6A",4.66439665793867,2.57447632704768,5.84020387234174,4.67610668961677e-07,9.09502751130462e-06,6.18303040280575
"HBA1",3.02266563992103,1.82643888532008,5.60783682044064,1.04683137982077e-06,1.93913050833466e-05,5.40644945985458
"P68032",3.63407771752658,2.03404680916652,5.25259950166111,3.55354005339726e-06,6.28330491259788e-05,4.23064208933033
"Q04695",3.21394812627518,2.13005613425584,5.15188617731624,5.01119929731759e-06,8.47546315937627e-05,3.90047545608823
"FLNA",3.03575916000364,1.94622889739667,5.1148371288814,5.68461718021062e-06,9.21381701292471e-05,3.77942959963193
"P68366",2.12495352224301,1.95366699123422,4.91655281163237,1.11224956128489e-05,0.000173066031735929,3.13573674282117
"FBLN1",2.44312600918951,1.37059447289955,4.86067198930172,1.34225991378158e-05,0.000198967144525491,2.95569183133766
"P01008",3.33854648179708,1.71175059502475,4.85219745656701,1.38100588745199e-05,0.000198967144525491,2.92844327121336
"COL10A1",-2.30414827222944,0.950811369126076,-4.83982105016441,1.43957575220151e-05,0.000199998202716566,2.88867580358163
"KRT6C",4.53429991145698,2.32059859033938,4.82538099570818,1.51100475444701e-05,0.000202683051544789,2.84231831230001
"CFD",-2.4286559710982,1.78210932271283,-4.74126355939481,2.00187872441e-05,0.000259576941265164,2.57317082948878
"KRT3",2.65534377630353,1.68289539879105,4.68942469083618,2.3791802528326e-05,0.000298548747855446,2.40809553807119
"APOB",3.66722273252463,1.74147644688934,4.46403719856459,5.00686902806422e-05,0.000608647516224057,1.69800659403326
