"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"COL6A1",-2.62396077799888,1.0531367631725,-6.54469543632047,3.99499324614268e-08,1.5540523727495e-05,8.51856791637497
"TUBB1",-2.69321323186553,1.42581639624191,-6.04161316745463,2.31878283619613e-07,4.51003261640148e-05,6.87691432443408
"TLN2",4.01467919318725,1.10544850568922,5.52814819911997,1.37863624383551e-06,0.000178763166284005,5.21179301598013
"P68366",-2.56465798920125,1.95366699123422,-4.84501472608122,1.41470558472296e-05,0.00137580118114308,3.03961121663458
"P11142",-2.72974120778068,1.4286386572736,-4.68028094245366,2.45261821909324e-05,0.00190813697445454,2.52749162438566
"KRT15",-4.86144218374117,1.05196784790562,-4.24197861493244,0.000102985982312609,0.00667692451993414,1.19588965833269
"FBLN1",-2.58059649698845,1.37059447289955,-4.19203520724937,0.000120904620736322,0.00671884249520416,1.04746943765366
"AMY2B",-2.31058483140717,0.923538375654455,-3.99341796028674,0.000227188393294349,0.0110470356239377,0.464949745713477
"AMY1A",-2.31058483140717,0.931305959676543,-3.76489820033376,0.000462256342232223,0.016347065193485,-0.188527399127541
"AMY1B",-2.31058483140717,0.931305959676543,-3.76489820033376,0.000462256342232223,0.016347065193485,-0.188527399127541
"AMY1C",-2.31058483140717,0.931305959676543,-3.76489820033376,0.000462256342232223,0.016347065193485,-0.188527399127541
"IGKC",3.31662524134159,0.881565498792972,3.5963647525265,0.00077148376951612,0.0250089321951476,-0.657691434199809
