"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ALB",-8.1582837329691,7.89886994691184,-31.8496098780016,1.70891767373448e-33,6.64768975082712e-31,58.8454516080546
"P13645",7.23874644447814,3.13597377247352,19.6355483847604,2.62113854576527e-24,4.57686132354068e-22,42.7336853343686
"KRT1",8.46831948809033,3.40895010581031,19.4969361047677,3.52971310298767e-24,4.57686132354068e-22,42.4833863417131
"SeRPINA1",-6.53401284871292,6.35969402538638,-17.7674139224482,1.67276659639061e-22,1.57766420069883e-20,39.1911391240206
"TF",-6.51093001864522,6.50277193165561,-17.6500568753727,2.1956087945699e-22,1.57766420069883e-20,38.9559108690478
"A2M",-6.93254635889577,6.92086440788217,-17.6058346000314,2.43341521958688e-22,1.57766420069883e-20,38.8668669855227
"KRT9",7.02226426992353,2.91951637462526,17.3423816773426,4.50837884445296e-22,2.26481444515223e-20,38.3317493522226
"AHSG",-6.22659037412298,6.33992813471078,-17.3285404466365,4.65771608257527e-22,2.26481444515223e-20,38.3034142508739
"P63261",4.98424566882013,2.61637983050475,16.4109382779286,4.22014878582627e-21,1.64163787768642e-19,36.3744784319369
"P60709",4.98424566882013,2.61637983050475,16.4109382779286,4.22014878582627e-21,1.64163787768642e-19,36.3744784319369
"C3",-6.93589294416009,6.67762398894577,-15.615719875747,3.06245020166078e-20,1.08299375313277e-18,34.6196062802812
"AFP",-5.56225975244156,5.71185561573929,-15.5763773880963,3.38402553958248e-20,1.09698827908132e-18,34.530712437398
"P02768",6.52644971621049,3.38571285078241,14.4143656975223,6.99401778339376e-19,2.09282532133859e-17,31.8137839067107
"HBBF",-5.09956170499513,5.11778033064974,-14.0885637955178,1.68195771740607e-18,4.67343965764972e-17,31.0194698602233
"ACTB",-4.25426649965388,4.64889836020568,-13.1753237432899,2.10820217391124e-17,5.1255665353217e-16,28.7142122767874
"ACTG1",-4.25426649965388,4.64889836020568,-13.1753237432899,2.10820217391124e-17,5.1255665353217e-16,28.7142122767874
"GC",-4.60509811864066,5.06743320271011,-13.006591084792,3.40187463811099e-17,7.78428961308926e-16,28.2753518983045
"APOA1",-6.06293521604709,5.73016030923517,-12.9196258127281,4.3594329784834e-17,9.42121904794467e-16,28.0475661530488
"TLN1",5.74347845053296,2.87545084798534,12.2883089970849,2.7155743113682e-16,5.55978109011701e-15,26.3611803338073
"eeF1A1P5",5.57860238568613,1.9684402153512,12.1373003735196,4.23808216934475e-16,8.24306981937554e-15,25.9492071895438
"eHD3",4.47164794782297,1.05773225180497,12.0122624463227,6.14039887529947e-16,1.13743579166262e-14,25.6055623983614
"ITIH4",-5.41558001809873,5.57714384362311,-11.5429017099151,2.51462568385544e-15,4.44631541372622e-14,24.2951733693816
"SeRPINF1",-4.32371016203256,4.44950328492584,-11.4827387200612,3.01890667890236e-15,5.10588999170877e-14,24.1248726048237
"FeTUB",-4.69843937890994,4.59737110107439,-11.0784096744176,1.04368880873072e-14,1.69164561081771e-13,22.9666238623372
"AGT",-5.08350517706145,5.18031301631619,-11.0408539505061,1.17239583020546e-14,1.8242479117997e-13,22.8578306824357
"A1BG",-4.36247404869455,4.21514638674972,-10.9888869633536,1.37748541609311e-14,2.06093010330854e-13,22.7069521315855
"P62826",3.77508418340805,0.922613212676283,10.800570405006,2.47775222416051e-14,3.56979857480903e-13,22.156922018641
"HBA",-4.38697600153108,4.58751823349648,-10.7126782445327,3.26387517023306e-14,4.53445514721664e-13,21.8984550108036
"GSN",-4.12652396911184,4.70798588107988,-10.5741099153241,5.04984808389391e-14,6.77376174011977e-13,21.4887078344697
"VTN",4.38041132284144,1.40921416454494,10.4238842901513,8.12759309678569e-14,1.05387790488321e-12,21.0413895233081
"P68104",5.61873978957486,1.89863603467514,10.4131157428275,8.41056180118668e-14,1.05538985182633e-12,21.0092013568542
"SeRPINA5",-4.71419440458301,4.45273357818194,-10.399147920853,8.79251703968302e-14,1.06884035263647e-12,20.9674257783527
"QSOX1",3.54408920370716,0.978259002730328,10.3206923631507,1.12888648771636e-13,1.33071770824747e-12,20.7322645240491
"P35900",3.96388410480371,1.05611255282155,10.0523883324091,2.66896768276842e-13,3.05361302528504e-12,19.9215250013875
"KRT2",7.58784744418532,3.01917522849957,10.0182377494411,2.97978566252839e-13,3.31181892206727e-12,19.8176131264558
"C4",-4.62670660007845,4.65920312784159,-9.74103100257175,7.32492587411015e-13,7.91498934730235e-12,18.968234235679
"KRT14",6.11288870024164,2.59721950884683,9.70184588713789,8.3242195673729e-13,8.75167949110287e-12,18.8473296554398
"LIMS1",3.1197974337671,0.815161218650176,9.60077101957365,1.15869754622246e-12,1.17196647814948e-11,18.534520812997
"KNG1",-4.735612141285,4.61740896634327,-9.59651439187028,1.1749792454455e-12,1.17196647814948e-11,18.5213175786405
"SeRPINA3-7",-4.31088107617713,4.07790237558185,-9.57368327868949,1.26633997620283e-12,1.23151562685725e-11,18.4504591003231
"P05452",4.57607551635853,0.807739349953079,9.43075679477455,2.02642534421195e-12,1.92263282658158e-11,18.0053222366156
"P61224",3.30462535541678,1.06500774225224,9.33968980373414,2.73752941870591e-12,2.53547367589666e-11,17.7203197496535
"TTR",-4.6158573984028,3.64932677107665,-9.19409993971113,4.43650936352359e-12,4.01349335444344e-11,17.2624939984788
"P23528",3.53348315699294,0.892579134525166,9.09910498840315,6.08705192117593e-12,5.38150726667599e-11,16.9623442328552
"H2BC18",4.06818814295597,0.923136078527918,9.0738420532727,6.62231972076529e-12,5.72462749195044e-11,16.8823358162595
"SYNCRIP",4.85566224382323,1.12831937205131,9.01660302249047,8.01777715887608e-12,6.7802506843539e-11,16.700771268397
"UBB",3.56619758859975,0.754972106198902,8.97065888023586,9.35021014481311e-12,7.49238856031741e-11,16.5547489071996
"P0CG48",3.56619758859975,0.754972106198902,8.97065888023586,9.35021014481311e-12,7.49238856031741e-11,16.5547489071996
"SeRPINF2",-4.37698369138878,4.39142943819755,-8.96787730813546,9.43771309654378e-12,7.49238856031741e-11,16.5459002428119
"KRT13",5.01416709179334,1.66250528245446,8.87738589347271,1.27840079478444e-11,9.94595818342291e-11,16.257531197937
"LYZ",3.78040497171644,0.816234948298071,8.70645676820813,2.27315339210861e-11,1.73383660692206e-10,15.7102349361214
"HBA1",5.23519682644064,1.82643888532008,8.64415567496873,2.80578485641161e-11,2.09894290220022e-10,15.5099309295599
"P62979",3.56267216425298,0.826696115854738,8.57705668063237,3.52132560303845e-11,2.58452011241879e-10,15.2937222132515
"HPX",-4.31415086992372,4.50017515274439,-8.56721672164148,3.64073669803217e-11,2.62267884358244e-10,15.261974323298
"KRT16",5.86409421860396,2.4557089568436,8.56171209663698,3.70930974448674e-11,2.62349361928244e-10,15.2442094993216
"P13647",6.37101610689018,2.60010411438863,8.5561108873808,3.78042318248303e-11,2.6260439606891e-10,15.2261296189642
"P02788",4.10093635208054,1.35017089856469,8.47820227914582,4.92480460402556e-11,3.36096314204551e-10,14.9743043178274
"SeRPINB12",3.72557744815059,0.756539404534591,8.3155293847672,8.57001663753665e-11,5.74782150345131e-10,14.4464552084019
"ORM1",-4.40014529367395,3.90623180911046,-8.2789925857039,9.70871571988344e-11,6.35943508408015e-10,14.3275311788076
"P09429",5.25071313151996,1.26815882585194,8.27598755545655,9.80889730192310e-11,6.35943508408015e-10,14.3177442146872
"FHL1",3.46184304813687,0.837231346343477,8.23166438702475,1.14135232150067e-10,7.27845988629116e-10,14.1732875065291
"PKM",3.83233522142947,1.51734925952507,8.14919323833661,1.51372049247538e-10,9.49737534795035e-10,13.9039985112223
"P04406",4.76979341407902,1.55420244363732,8.13215925038434,1.60473867511891e-10,9.9086245177977e-10,13.8482985351515
"KRT5",-5.66669660396454,4.73730482687423,-8.02751416277,2.29834649722128e-10,1.38637756623681e-09,13.5055345748737
"Q04695",5.62529177760099,2.13005613425584,8.02521649018705,2.31656919808208e-10,1.38637756623681e-09,13.4979975539744
"KRT3",5.05894489511805,1.68289539879105,7.9513901939648,2.98635775026377e-10,1.76014115886759e-09,13.2555814172057
"SeRPINA3-2",-4.96170507951669,4.76093658631639,-7.93523983947108,3.15714565350565e-10,1.83302934210999e-09,13.2024877442416
"P62987",3.55626824230035,0.778036181657141,7.90005699569002,3.56401704440767e-10,2.03882739746262e-09,13.0867496592504
"P26583",4.93970376559493,1.24120552866906,7.85663944359993,4.1396279909986e-10,2.33379027318617e-09,12.9437816671738
"SeRPINC1",-5.18508047453772,5.03021048165686,-7.72997112174068,6.41193706452662e-10,3.56320502585836e-09,12.5258250977341
"P02771",3.79393056292305,1.3284525812195,7.60153238055072,1.00033703657889e-09,5.4807198201294e-09,12.1008045484674
"P19823",3.70657865900249,1.84784059236717,7.55420153087273,1.17879546992252e-09,6.3687699694425e-09,11.9438913384967
"H4C1",3.69996279711233,1.01386474095244,7.46950334812155,1.58181491822815e-09,8.42912333138012e-09,11.6627331810592
"P05109",3.98562366174995,0.857391557633852,7.1906033067782,4.17670816326777e-09,2.1955938858259e-08,10.7340136641502
"ADIPOQ",-3.55559288223787,2.9311360628011,-7.05195362686905,6.77627002297702e-09,3.51462538525075e-08,10.2709534424598
"KRT4",3.89681840519305,0.990790724299546,6.97870315839825,8.75243394239802e-09,4.47986421525373e-08,10.0260281042482
"KRT6A",6.21883624252661,2.57447632704768,6.92988391936053,1.03808824512889e-08,5.24436788772905e-08,9.86270120294123
"APOH",-3.60984226787222,3.65061751575342,-6.85823039937014,1.33365780419741e-08,6.63663357152145e-08,9.62286843419993
"Q14CN4",4.48200681123087,1.17514041604347,6.85521443559554,1.34779961992338e-08,6.63663357152145e-08,9.61277104226183
"Q02413",4.83773932091213,1.12524440089699,6.8388354041601,1.42726480156704e-08,6.94007509761972e-08,9.55793102147923
"Q5XKe5",4.71808407889858,1.49693522987368,6.73130615474673,2.07913673687987e-08,9.98499000797863e-08,9.19778517486814
"P01008",5.16748253780111,1.71175059502475,6.68412192064472,2.45240716847342e-08,1.1633980348002e-07,9.03970312334968
"TLN2",4.44452916029299,1.10544850568922,6.67090146797873,2.5685383531191e-08,1.20380893899196e-07,8.99540686183274
"PLG",-4.5012603616421,5.15979702787067,-6.55889088271767,3.80136252907622e-08,1.76039288548887e-07,8.62007542566568
"C4A",4.2256075774619,1.81106546131638,6.5142389696888,4.44434812197989e-08,2.03394284641197e-07,8.47045447181748
"P08727",5.25073099176642,1.416951926209,6.41673994515943,6.25144714231081e-08,2.803873564104e-07,8.14380411538329
"P01024",4.8528850997755,2.31548225916967,6.41585313218499,6.27087403797038e-08,2.803873564104e-07,8.14083354198698
"KRT75",-4.74308256305472,3.76148145514914,-6.34685493443959,7.98279440815322e-08,3.528757982695e-07,7.90974923649068
