"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P63261" 4.94040572673438 2.61637983050475 18.2773101626177 5.21092724934799e-23 1.01352534999818e-20 40.7691741018717
"P60709" 4.94040572673438 2.61637983050475 18.2773101626177 5.21092724934799e-23 1.01352534999818e-20 40.7691741018717
"P13645" 5.15418563431831 3.13597377247352 15.7092488619663 2.41700636155068e-20 3.13405158214405e-18 35.2415503637227
"KRT1" 5.85688115071522 3.40895010581031 15.1513467911254 1.00629432982453e-19 9.78621235754351e-18 33.9356493031516
"P02768" 5.97472916219082 3.38571285078241 14.8269716248488 2.3439227829351e-19 1.82357192512351e-17 33.1580191809074
"KRT9" 5.05059709211798 2.91951637462526 14.014899523723 2.05469343706805e-18 1.33212624503245e-16 31.1503670962921
"TLN1" 5.34746169813934 2.87545084798534 12.8552493052955 5.24120858213088e-17 2.91261448349845e-15 28.1275696805552
"P68366" 3.8307946674632 1.95366699123422 8.86339587946461 1.33991316914865e-11 6.51532778498532e-10 16.2777262829987
"KRT2" 5.06321701644225 3.01917522849957 7.51129776859337 1.36807998176464e-09 5.91314569896051e-08 11.8171269324343
"FLNA" 4.4067565304834 1.94622889739667 7.42477934910688 1.84784073149394e-09 7.18810044551141e-08 11.5267872652853
"P19823" 3.16586138215639 1.84784059236717 7.24974839512585 3.39845768192413e-09 1.20181821660772e-07 10.9382108285323
"KRT14" 3.90981346978021 2.59721950884683 6.97235698651322 8.94871246176578e-09 2.90087428968907e-07 10.0028114354168
"TUBA1B" 3.5874798853242 1.83936878995559 6.6616009180841 2.65351796762134e-08 7.94014222619e-07 8.95265948101786
"TUBB1" 2.39854868024644 1.42581639624191 6.58986233412837 3.41085141191787e-08 9.4772942802575e-07 8.71011653317098
"P07996" 3.94167411378938 2.00970292703318 6.21013990486145 1.28746041435634e-07 3.33881400789744e-06 7.42739478743064
"P68032" 4.15039843696088 2.03404680916652 5.99887576881914 2.69139659779284e-07 6.54345797838385e-06 6.71579115537196
"eeF1A1P5" 2.39773111122208 1.9684402153512 5.86155525856678 4.34149794391897e-07 9.93436882461459e-06 6.25461750400107
"FBLN1" 2.89656541573359 1.37059447289955 5.76280319904867 6.11875761237395e-07 1.28035010356669e-05 5.923822332166
"P13647" 3.81484358749088 2.60010411438863 5.75652149790873 6.25363803798642e-07 1.28035010356669e-05 5.90280724877995
"CKM" -3.17556762720251 1.35290143801116 -5.70556675398443 7.4627329505795e-07 1.40047650139706e-05 5.73246937216973
"LOX" -2.59111165078654 0.816160085207953 -5.70181571872944 7.56041298954709e-07 1.40047650139706e-05 5.71993922098957
"CHI3L1" -3.04802896870884 0.89653022475856 -5.66333116675909 8.63893061413435e-07 1.52752000404466e-05 5.59145990409057
"POTee" 2.91907581026513 1.39968024410531 5.51541541330334 1.44055805836216e-06 2.43642210740383e-05 5.0990505288642
"P68371" 3.03553114217149 1.62509992330438 5.39633762218777 2.17082260699634e-06 3.51854164217323e-05 4.70445933270508
"P06396" 4.05210581113456 2.02434651694114 5.35403748174093 2.51029613983669e-06 3.90602079358589e-05 4.56472324038671
"ANXA5" -2.31846710405299 0.90890180110496 -5.31114652563649 2.90812416640531e-06 4.28661473933166e-05 4.42328459948906
"KRT71" -3.70379737684775 2.1048396744389 -5.30448380209461 2.97528529465179e-06 4.28661473933166e-05 4.4013365720054
"P01024" 3.53219672737245 2.31548225916967 5.24704733633726 3.62164850399704e-06 4.96051498726067e-05 4.21239957994416
"KRT16" 3.19472689230714 2.4557089568436 5.24093907592515 3.6980702989861e-06 4.96051498726067e-05 4.19233530615757
"P11142" 2.47426335770729 1.4286386572736 5.19567527710231 4.31628700881797e-06 5.59678548810064e-05 4.04383229122214
"MYH9" 3.31053322071483 2.01663136304521 5.13354270905064 5.33414336457216e-06 6.6934895768341e-05 3.84051545123885
"P07900" 2.99830210805762 1.43066996680378 5.06337157607696 6.77051801314629e-06 8.23041095973096e-05 3.61167006232499
"F12" -3.00434465466672 1.484624969185 -5.04833615309164 7.12473262244465e-06 8.39854845494233e-05 3.56274746456044
"IGFBP3" -3.53742072020305 1.51430664029472 -5.02396913385746 7.73798122196825e-06 8.85316086866367e-05 3.48354772736428
"P68104" 2.39773111122208 1.89863603467514 4.99295839914779 8.5941749957213e-06 9.55181163810167e-05 3.38291121421317
"P02771" 2.17376498758707 1.3284525812195 4.893730563294 1.20107896920499e-05 0.000129783255283539 3.06212817917777
"C4A" 2.79134925251854 1.81106546131638 4.83508814340327 1.46261372124004e-05 0.000153772091233074 2.8734766974789
"KRT6A" 3.76960169311458 2.57447632704768 4.71984782165651 2.15003776850964e-05 0.000220095971565855 2.5048996974509
"KRT79" -3.75147922432469 2.46167221409469 -4.68872410274695 2.38472984095926e-05 0.000237861514905937 2.40586886015472
"COL6A1" 1.48844961148113 1.0531367631725 4.54686299713111 3.81409742893646e-05 0.000370920974964071 1.95744516386816
"LYSM" -1.80209775637408 1.09459348779693 -4.33955099935629 7.51328930955988e-05 0.000710764313603668 1.31162262092428
"VTN" 1.62054351770433 1.40921416454494 4.3330238583577 7.67406199777739e-05 0.000710764313603668 1.2914864144357
"GARIN1B" -2.07227139252612 1.00494114708315 -4.28119365419517 9.07548887757977e-05 0.000821015156599659 1.1320415908004
"PKM" 1.77484093961155 1.51734925952507 4.2405897261247 0.000103447377488794 0.00091456886007138 1.00770304155667
"NACA" -2.40070076857234 0.91529785373374 -4.22355750092618 0.000109271824002497 0.000944594211932696 0.955699044243764
"COL10A1" -2.00379022980392 0.950811369126076 -4.20892450854964 0.000114529700654088 0.000968522903357393 0.911093594610499
"DSG1" -2.45442011620286 1.10922966829358 -4.18905261190948 0.00012206571091636 0.00101028854354179 0.850627665556162
"CSN1S1" -2.27964351076034 1.13340790595161 -4.13140821910277 0.000146757213470142 0.00118934491749761 0.675952168756208
"APOB" 3.33408676928169 1.74147644688934 4.05851742500223 0.000184996127361608 0.00146864272538093 0.456662805247945
"CAPNS1" -1.87043895920778 0.858051979934831 -4.02951240682447 0.000202761821526406 0.00157748697147544 0.369909696074422
"UBA52" -2.2440704846178 1.32474527356399 -3.97388036067911 0.000241575023954957 0.00184260165330349 0.204347907252624
"B4GAT1" -1.41989202190422 0.751939136810005 -3.95980305618047 0.000252483432325886 0.00188877029182249 0.162630120524351
"KRT6B" 3.76960169311458 2.38420675803211 3.9106942729821 0.00029439394424784 0.00214378131899456 0.0176671982686081
"CALD1" -1.98260764058686 0.74005781239672 -3.90722726574679 0.000297594321916983 0.00214378131899456 0.00746690144221418
"KRT17" -5.08886751282417 3.23306572574161 -3.89507415923285 0.000309080385217052 0.0021860412699897 -0.0282531326470172
"KRT73" -2.6012002402705 2.38587391724535 -3.87737156147975 0.000326580637562092 0.00226856907163667 -0.0801841676559656
"SeRPINA5" -1.55396191978617 4.45273357818194 -3.8516457199483 0.000353727733219108 0.00238875173717419 -0.155438411264909
"P63104" 1.31762290219351 1.02876247999891 3.84943148079751 0.000356163498087669 0.00238875173717419 -0.161903693124877
"Q04695" 2.37434820277521 2.13005613425584 3.8060264837535 0.000407309779411627 0.00267533926492907 -0.288255029347942
