"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"eDIL3" -2.99865891694813 1.05310899536172 -5.90828598027206 3.68997932006908e-07 0.000143540195550687 6.39412509129115
"P68366" -2.04850788604805 1.95366699123422 -4.73967882185464 2.01248986077664e-05 0.00335279048239362 2.72116205340173
"P68371" -2.62378996613226 1.62509992330438 -4.66437530824659 2.5856996008177e-05 0.00335279048239362 2.49137877878157
"TUBB" -2.76221099596536 1.55550919138058 -4.49538636808581 4.5177217289596e-05 0.00439348438141321 1.9802206976828
"P06733" -2.10462918402866 1.16215827316113 -4.36956425044029 6.81533806437895e-05 0.00530233301408682 1.60405973504927
"VTN" 1.49054263725734 1.40921416454494 3.98542633294086 0.000232969909627376 0.0123630682502844 0.482896916477145
"TUBA1A" -3.04142684553 1.4003424540644 -3.96560994956969 0.000247927154445381 0.0123630682502844 0.426303278628104
"P26038" -2.18436688223814 1.29594388763761 -3.92961569435286 0.000277505338198517 0.0123630682502844 0.323847024598458
"P00558" -1.82065976885985 0.941550110779888 -3.91992435501793 0.00028603499807856 0.0123630682502844 0.296336824238999
"P15311" -1.82136464251781 0.943878802764833 -3.8768860365848 0.000327073844365996 0.0127231725458372 0.17456177081114
"ANXA2" -1.90470669179389 1.17048389688045 -3.83942696812724 0.000367372113452576 0.0129916138302775 0.0691068142961653
"IGKC" 2.84806147445796 0.881565498792972 3.7823552758512 0.000438113896900514 0.0138384337396122 -0.0905822764128006
"P02787" 3.41733806547981 0.998359047154502 3.76474981834628 0.000462466937313519 0.0138384337396122 -0.139599586575581
"P02647" 2.67406373918678 1.00542398438452 3.6708602123409 0.000615971791097825 0.0164938274919064 -0.399010429379866
"P11142" -1.74309732443783 1.4286386572736 -3.66030869185924 0.000636008772181482 0.0164938274919064 -0.427948797049914
"P02649" 1.80107786359565 0.800040951030369 3.6327441298463 0.000691347467476084 0.0168083853030123 -0.503337309616624
"C4A" 2.04526900455241 1.81106546131638 3.54275120000086 0.000905984040554871 0.0207310465750497 -0.747311169834935
"P00734" 2.88556523159129 1.13249756310267 3.49635156507822 0.0010402308483867 0.0224805444456904 -0.871777638117333
"P07900" -2.01404430449137 1.43066996680378 -3.40120985704397 0.00137721643242302 0.0281966943269766 -1.1240684386925
"HSP90AB1" -2.54465448234567 1.71077618304505 -3.33064682991165 0.00169175799992446 0.0329046930985308 -1.30855658896673
"TUBA1B" -1.77270367631149 1.83936878995559 -3.29173816023794 0.00189323261564553 0.0350698803564815 -1.40929667755253
"Q13509" -2.1285452039803 1.07733684802175 -3.22202312355976 0.0023122834831922 0.0408853761346256 -1.58799585886539
"P63267" -2.40188093788981 0.87805768071294 -3.19144085586801 0.00252253860263893 0.0426638050620237 -1.66564138350992
"ATIC" -1.45537599352986 0.705165706461896 -3.17040151200695 0.00267752624234455 0.043398237844668 -1.71878970472609
"P01023" 2.81715873247077 2.44612252397125 3.12566951644704 0.00303737697122839 0.0472405835929795 -1.83105124770208
"P02768" 1.25396129974562 3.38571285078241 3.11184793574296 0.00315746831212716 0.0472405835929795 -1.86553331448311
"FLNA" -1.82873149100893 1.94622889739667 -3.0811613293315 0.00344024170509634 0.0495649638252768 -1.94173952647125
