"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FLNA",-3.59857638281154,2.12980106281586,-6.73574510635023,1.99701947003632e-08,4.47332361288136e-06,9.23497228946939
"P68366",-2.0087006306158,2.08258765709156,-5.23880018203014,3.67867148540151e-06,0.000412011206364969,4.24114097082357
"MYH9",-3.24720805895095,2.17147436226733,-5.10917972162871,5.727618236559e-06,0.000427662161663072,3.81868214832493
"P26038",-2.41361154062732,1.46456907161834,-4.62218976911231,2.94808975655589e-05,0.0016509302636713,2.2594587421186
"TUBA1A",-2.94818745069726,1.56754237636975,-4.3873010078697,6.38524451470544e-05,0.00241405679565139,1.52695876209583
"P09429",2.28478385229726,1.37638461910149,4.38343692553094,6.46622355978051e-05,0.00241405679565139,1.5150335359813
"TUBA1B",-2.01688861440928,1.94726573425111,-4.29038799611419,8.74867937052303e-05,0.00279957739856737,1.22917644888833
"P08727",2.67710425556755,1.50896968556269,4.12830086412512,0.000147302118002887,0.00412445930408083,0.737545433229673
"P68371",-1.95963331685075,1.75239805099663,-3.91574874706425,0.000288266624419407,0.00703002577317927,0.106161964566588
"KRT3",2.29049522165767,1.74723983828543,3.88851041009436,0.000313840436302646,0.00703002577317927,0.0264257573619631
"HMGB1",2.28478385229726,1.57185030634935,3.83023175637545,0.000376121203567818,0.00765919541810829,-0.143231905587775
"TUBB",-2.0071669710334,1.6982673327166,-3.74444823124083,0.000489920703793169,0.00876472712416773,-0.390548732448586
"P11142",-1.60472881815945,1.58731738439312,-3.73219304887003,0.000508667199170448,0.00876472712416773,-0.425640171393472
"eeF1A1P5",1.59189295907011,2.0344425061276,3.66435839643218,0.00062556522139743,0.0100090435423589,-0.618759276723333
"P68104",1.59189295907011,1.96523511745077,3.49518637203131,0.00103999867451558,0.015530646872766,-1.09178506063309
"KRT13",1.77744940452457,1.73143413968201,3.41853038117727,0.00130450218612925,0.0182630306058096,-1.30188445371801
"SeRPINA3-4",-2.70106386325359,4.46456017642123,-3.34528041588447,0.00161620246454911,0.0212958442387647,-1.50005647608505
"SeRPINA3-2",-1.75519130110937,4.82604857429141,-3.26910084784287,0.00201470188088264,0.0250718456287617,-1.70337699180237
"CLeC3B",1.82854961427012,2.59057900230815,3.21419675452498,0.0023578008116878,0.0269023630047675,-1.84810628119417
"KRT8",2.19012819754451,1.57238229373487,3.20768169646893,0.00240199669685424,0.0269023630047675,-1.86517776404235
"P07900",-1.7086499182947,1.58250706049443,-3.17190030092313,0.00265900266628947,0.0283626951070877,-1.95854343014857
"VTN",1.25459551124428,1.52379352816746,3.09044068710647,0.00334399881270961,0.0340479879112251,-2.16857838435227
"TUBA1D",-2.94818745069726,1.92357841852992,-2.9991563327162,0.00430724421744408,0.041948813248151,-2.3996661873065
"FN1",-2.62179820314882,3.70447587721651,-2.96359383390183,0.00474844939803506,0.0425601863178964,-2.48843537755112
"Q7RTS7",1.67683092011036,1.40459970723818,2.96347278629478,0.00475002079440808,0.0425601863178964,-2.48873630592749
"Q04695",1.80747951491567,2.19354047619982,2.93248848074717,0.00516860421411365,0.0445295132292868,-2.56548887238352
"KRT1",1.10563867552244,3.56366728071721,2.91754664832786,0.00538252811705679,0.0445410343124807,-2.60230467434239
"KRT9",1.08781507426251,3.05443713763583,2.90505789791238,0.00556762928906009,0.0445410343124807,-2.63297703005643
"P26583",1.45168123906932,1.35952732575011,2.88302237957646,0.00590875077177172,0.0456400059612712,-2.68687459554477
"TBA1B",-2.01688861440928,2.82043278934966,-2.86984505728453,0.00612192649938776,0.0457103845287619,-2.71896955855389
"H4",1.49850369063794,1.67480620436773,2.85151754873282,0.00643031661555835,0.0463472401235492,-2.763438096213
"TUBA4A",-2.0087006306158,2.95719026205517,-2.83273906070592,0.00676120318569353,0.0463472401235492,-2.80879405004901
"P13647",1.9259439147268,2.68452794778343,2.82026233973386,0.00698970568637098,0.0463472401235492,-2.83881281783908
"KRT75",1.96245893286009,3.70013749810656,2.81784221842859,0.00703484894732443,0.0463472401235492,-2.84462477810592
