"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P02768",6.99314875899606,3.53014814150613,17.1987399443463,5.47085653986159e-22,1.225471864929e-19,38.8543798044843
"P13645",5.14559331038441,3.28286207275526,15.6818017868417,2.27828124225415e-20,2.55167499132465e-18,35.4410242583999
"KRT1",5.40628121945432,3.56366728071721,14.2660328377927,9.31000011280449e-19,6.95146675089402e-17,31.9972579185639
"P63261",3.83802800963083,2.73660694264868,13.7711402037477,3.60091001090902e-18,1.61320768488724e-16,30.7312329947839
"P60709",3.83802800963083,2.73660694264868,13.7711402037477,3.60091001090902e-18,1.61320768488724e-16,30.7312329947839
"KRT9",4.68211282386701,3.05443713763583,12.5037877849901,1.32078176280085e-16,4.93091858112316e-15,27.3357057894231
"TLN1",4.4977146569094,3.01286371076434,10.6541645343306,3.66444804277907e-14,1.1726233736893e-12,21.9738652447367
"KRT2",5.20499579394517,3.15887506003387,7.70119251527477,6.84404066197424e-10,1.91633138535279e-08,12.4849911101865
"P01024",4.84689188875327,2.35144295118694,6.99773676823267,7.96908515772933e-09,1.98341675036819e-07,10.1056776663131
"KRT14",3.90915000644325,2.68973372823354,6.65240028317467,2.67538700098407e-08,5.99286688220431e-07,8.93184862366829
"MYH9",4.09161287467867,2.17147436226733,6.43777212563853,5.68125961487574e-08,1.15691104884742e-06,8.20220961731921
"P19823",2.8489969039379,1.95199204990044,6.16607189514828,1.47246114129329e-07,2.74859413041415e-06,7.27999471452649
"P01023",5.2706565492783,2.56133651287742,6.01314336231475,2.51408124321664e-07,4.33195537292714e-06,6.76227673500021
"C4A",3.62793490823978,1.92122048006565,5.95253142386902,3.10692382063063e-07,4.97107811300901e-06,6.55745924976421
"eeF1A1P5",2.52250255138823,2.0344425061276,5.8065169215903,5.16960187770089e-07,7.71993880403333e-06,6.06512130080764
"P13647",3.88316619255571,2.68452794778343,5.68632725389935,7.85218762168173e-07,1.09930626703544e-05,5.66118816755745
"CFD",-2.2918412685016,1.76934998426834,-5.61534035349155,1.0045451810601e-06,1.32363600327919e-05,5.42326688386125
"P68104",2.52250255138823,1.96523511745077,5.53844810405876,1.31106325185085e-06,1.63154538008106e-05,5.16615980642769
"KRT6A",4.25539218671517,2.67428440972459,5.2316062686327,3.77041747230038e-06,4.44512375681728e-05,4.1475720853367
"HBA1",2.41339598438404,1.88969620876951,5.19342311995254,4.29657322629068e-06,4.81216201344556e-05,4.02177079628692
"KRT16",3.34404925116251,2.5364333186317,5.1529294404865,4.9339094142997e-06,5.26283670858634e-05,3.88861500652886
"P68032",3.03019106885395,2.10659978605528,5.08818032708641,6.15212283651468e-06,6.2639796153604e-05,3.67627466738535
"APOD",-2.06450854692001,1.954804178567,-4.92757150358829,1.06047806378574e-05,0.000103281341864351,3.15285500836315
"FLNA",2.5784372363225,2.12980106281586,4.82626854317908,1.49165336105255e-05,0.000139220980364905,2.82533605192391
"VTN",1.92839806115406,1.52379352816746,4.75021612600632,1.92466169902218e-05,0.000172449688232387,2.58090482526924
"P01008",2.91925447152015,1.82429362274305,4.44245228031868,5.33191409987058e-05,0.000459364907065773,1.60600284587483
"KRT6C",4.12281907127886,2.43459542956762,4.41656982006559,5.80319967343745e-05,0.00048145063957407,1.52515484032662
"Q04695",2.69918299805976,2.19354047619982,4.37920484515596,6.55606507018635e-05,0.000524485205614908,1.40877633041
"HSP90AB1",-2.70687073323181,1.74196872511885,-4.33657974180373,7.5316222778851e-05,0.000581752893188366,1.27651115367446
"KRT79",-3.29761734433733,2.44652612012048,-4.31419089133556,8.0993534588526e-05,0.00059093132684304,1.20725529415841
"CKM",-1.89201334029341,1.43905061876519,-4.31120825286194,8.17806746970278e-05,0.00059093132684304,1.19804044852239
"COL1A2",-1.96378801371779,1.47526700442031,-4.23189509698235,0.000105672936383644,0.000739710554685505,0.95400726252214
"A1BG",-1.56821629814896,4.1781310077701,-4.21694908523297,0.000110880768726311,0.000752645218021019,0.908241828463358
"P68366",1.60899678139817,2.08258765709156,4.19635086622666,0.000118469131419965,0.000780502512884478,0.84528642086375
"FBLN1",1.93565125491505,1.54404194159371,4.16469898759668,0.00013112335001776,0.000839189440113664,0.748815658948743
"C4BPA",-2.05130048604415,1.32366387946617,-3.9444429525751,0.000263507019122194,0.00163959923009365,0.0869832988634602
"APOB",3.13157574474507,1.88182983813944,3.81370669501757,0.000395848399588276,0.00239648760831821,-0.297460160813487
"GPI",-1.60921494938133,1.26430635318619,-3.77180104289823,0.00045044675850162,0.00265526510274639,-0.419272082736522
"APOH",-1.64500688056459,3.55010419307759,-3.74176805628523,0.000493962857799347,0.00283712000377061,-0.506135063306376
"F12",-2.06421832065287,1.5732420082278,-3.69429270903507,0.000571108190115771,0.00319820586464832,-0.642686281507639
"KRT3",2.13221125575606,1.74723983828543,3.61979609742534,0.000715957326097499,0.00391157173282536,-0.85503574492958
"PZP",3.30581869174628,1.86308205916944,3.5980048568484,0.000764594683751436,0.00407783831334099,-0.916696778918371
"YWHAZ",-1.63679437392081,1.70627317267171,-3.53327294024969,0.000928439936476183,0.00483652432024803,-1.09862126759575
"P68133",3.03019106885395,1.43737644173672,3.51232679534124,0.00098829450160694,0.00503131746272624,-1.15708417928314
"ORM1",-1.64023634626952,3.84967463978969,-3.46103657032655,0.0011508091148376,0.0057284720383027,-1.29938753429341
"HABP2",-1.37887963498186,1.33364828925658,-3.45084004155877,0.00118602068315953,0.00577540506582034,-1.32753138192796
"FMOD",-1.50701939547596,1.25866081839479,-3.35937473237301,0.00155120055629604,0.0073929558427726,-1.57777139256757
"ADIPOQ",-1.25865643424867,2.79383412952405,-3.34730526571619,0.00160670745603573,0.00749796812816675,-1.61048934394611
"CHIA",-1.65237651836992,2.39387368752129,-3.33946603418683,0.00164376452413887,0.00751435211034913,-1.63170151823451
"APOA2",-1.73747242172424,2.05314683389666,-3.31564416598587,0.001761415735078,0.00789114249314942,-1.69597417095573
"TUBA1B",1.5227329164456,1.94726573425111,3.23920467364014,0.00219518774983457,0.00964160894044986,-1.90028323082538
"TTR",-1.5033602794901,3.5072245420389,-3.20666695084015,0.0024089503960024,0.0103770170904719,-1.98634171606358
"P06396",2.23463823017125,2.12955510936767,3.13468928155668,0.00295364748396168,0.0124833403095739,-2.17473738274613
"P07996",1.73865405923026,2.092374929761,3.0715642161185,0.00352485420735454,0.0146216174527299,-2.33766994922575
"KRT6B",2.89145392125219,2.49674812989069,3.03700068621984,0.00388002897398949,0.015802299821339,-2.42595415677237
"KRT71",-1.96511003429744,2.0614298276594,-3.0006196407462,0.00428993816340974,0.017159752653639,-2.51815899865555
"SeRPINF2",-1.33188937789956,4.40365952530721,-2.98182138129191,0.00451728910757494,0.0177521536859085,-2.56550826830421
"KRT76",2.21534626764346,1.71902759500493,2.89398767512323,0.00573664323547203,0.0218322368351848,-2.78404732372564
"KRT80",-1.97208227643479,1.51598194213391,-2.89309646982331,0.00575045523783885,0.0218322368351848,-2.78624165197697
