"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P02768",6.52285191424264,3.53014814150613,16.0421060147226,9.18881421444963e-21,2.05829438403672e-18,36.2768473034166
"P13645",5.02735181554019,3.28286207275526,15.3214469019376,5.7314817595331e-20,6.41925957067707e-18,34.5889077135544
"KRT1",5.62718502093038,3.56366728071721,14.8489512539695,1.96475695315392e-19,1.46701852502159e-17,33.4465892757029
"KRT9",4.89565905188494,3.05443713763583,13.0740723590419,2.54699867830126e-17,1.4263192598487e-15,28.8912908555877
"P63261",3.43381530303882,2.73660694264868,12.3207938694722,2.25950912861776e-16,8.43550074683964e-15,26.8268383671824
"P60709",3.43381530303882,2.73660694264868,12.3207938694722,2.25950912861776e-16,8.43550074683964e-15,26.8268383671824
"TLN1",3.7088774446235,3.01286371076434,8.7855707947109,1.66227643164877e-11,5.31928458127605e-10,16.0835716424077
"KRT14",4.36748288667374,2.68973372823354,7.43236876154159,1.74379326478748e-09,4.88262114140495e-08,11.5785877524247
"KRT2",4.94335768270129,3.15887506003387,7.3140787607611,2.63488589854777e-09,6.55793823638556e-08,11.1784861619302
"P19823",3.19758436955942,1.95199204990044,6.92051826600918,1.04457795169379e-08,2.33985461179409e-07,9.84335254446889
"KRT16",3.97512470636586,2.5364333186317,6.1253694519951,1.69793995080602e-07,3.45762317255044e-06,7.14208335879381
"C4A",3.65089425544325,1.92122048006565,5.99020195522002,2.72390814598068e-07,5.08462853916394e-06,6.68472629288295
"P13647",4.06726955705309,2.68452794778343,5.95591962444557,3.07038478953385e-07,5.29050917581218e-06,6.56890218263723
"P01024",4.05993620107571,2.35144295118694,5.86156355103975,4.26739573226048e-07,6.82783317161677e-06,6.25053865378908
"MYH9",3.69655651370198,2.17147436226733,5.81618770241724,4.99839060042919e-07,7.46426329664092e-06,6.09767818558743
"P68366",2.13767621100818,2.08258765709156,5.57517549039547,1.15454828359401e-06,1.61636759703162e-05,5.28888428705077
"FBLN1",2.54852473007854,1.54404194159371,5.48334227886986,1.58618394972662e-06,2.09003061611037e-05,4.98231919806658
"P01023",4.62616400730369,2.56133651287742,5.27786000347653,3.2177405020593e-06,4.00429929145157e-05,4.30026825065266
"P06396",3.68038531714706,2.12955510936767,5.16274368257601,4.77135698818856e-06,5.41404429100084e-05,3.92086241497269
"KRT6A",4.19627314073355,2.67428440972459,5.15892493681126,4.83396811696504e-06,5.41404429100084e-05,3.90831295943238
