"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ALB" -7.22968105402767 8.0225757952076 -28.692924884242 1.42175691040958e-31 3.18473547931746e-29 56.420630537647
"P13645" 6.98292663139929 3.28286207275526 18.9401008732194 1.0066538633573e-23 1.05197650286122e-21 41.8879238643291
"KRT1" 8.00030529848332 3.56366728071721 18.7886446895425 1.40889710204628e-23 1.05197650286122e-21 41.5975567951252
"A2M" -6.12247509226183 7.04890177435079 -16.3657366067004 4.11409096450917e-21 1.67315336587808e-19 36.607361546552
"P63261" 5.11408781163781 2.73660694264868 16.3310552253512 4.48166080145914e-21 1.67315336587808e-19 36.5309620224102
"P60709" 5.11408781163781 2.73660694264868 16.3310552253512 4.48166080145914e-21 1.67315336587808e-19 36.5309620224102
"TF" -5.60392523744641 6.62833730330571 -15.8184549928295 1.61180756434271e-20 5.15778420589669e-19 35.3844309567271
"SeRPINA1" -5.44652833540141 6.48107743762678 -15.1060955457981 1.00171852877495e-19 2.80481188056987e-18 33.7359430664319
"KRT9" 6.27853525484393 3.05443713763583 14.922526659334 1.61905011343084e-19 4.02963583787232e-18 33.3004837601977
"AHSG" -5.11376783145754 6.45909865672305 -14.5682464840194 4.13514080760169e-19 9.26271540902778e-18 32.4474545800517
"P02768" 6.60212051024244 3.53014814150613 14.4507909026785 5.66127279069325e-19 1.15284100465026e-17 32.1609414054223
"APOA1" -6.06773434182718 5.83793754773609 -13.157387975343 2.0095350657369e-17 3.75113212270888e-16 28.8806637339015
"AFP" -4.54233690335252 5.82309093743856 -13.1097214841708 2.30111998588539e-17 3.96500674491022e-16 28.7553030762592
"C3" -5.61204288561584 6.80831847634258 -13.0337180035814 2.85773035949437e-17 4.57236857519099e-16 28.5547494702493
"TLN1" 5.86882484183346 3.01286371076434 12.3726564589367 1.93971534502527e-16 2.89664158190441e-15 26.7755145538482
"HBBF" -4.13798947810239 5.20161125704235 -11.4360305726753 3.22003263211686e-15 4.50804568496361e-14 24.1464897543959
"P68366" 4.87804868024824 2.08258765709156 11.3226231937928 4.55967268104072e-15 6.0080392973713e-14 23.8195300540437
"ACTB" -3.64340328862578 4.69839418045775 -10.9718519312338 1.35134118998681e-14 1.59316013977392e-13 22.796478391311
"ACTG1" -3.64340328862578 4.69839418045775 -10.9718519312338 1.35134118998681e-14 1.59316013977392e-13 22.796478391311
"GC" -4.03998363805568 5.15266420639357 -10.9531665452223 1.43249114819228e-14 1.60439008597536e-13 22.7414841842325
"TUBB1" 3.77163656312993 1.59234073883428 10.5018589748009 5.93869204172307e-14 6.33460484450461e-13 21.3980786399525
"ITIH4" -4.30038389773245 5.68496499135984 -9.43835615399304 1.87286617783533e-12 1.90691829015961e-11 18.1207766183087
"eeF1A1P5" 4.48946297515337 2.0344425061276 9.19735146276334 4.17085067396307e-12 4.06204587377273e-11 17.3574420051647
"KRT2" 6.95588619282734 3.15887506003387 9.15955493168183 4.73164502855149e-12 4.41620202664806e-11 17.2370768800742
"FeTUB" -3.75724208237499 4.65955917386766 -9.1069630396535 5.64103937227464e-12 5.05437127755808e-11 17.0693065580103
"HBA" -3.61053787626695 4.62559023340705 -9.01559474151562 7.66137242445199e-12 6.60056701183556e-11 16.7770485619321
"P11142" 4.33847095817223 1.58731738439312 8.98014706517645 8.62958623315601e-12 7.15936043047017e-11 16.663396188717
"TUBA1B" 4.7148492864266 1.94726573425111 8.92620333985648 1.03455047787623e-11 8.27640382300984e-11 16.4901593709804
"P68104" 4.52925722364255 1.96523511745077 8.85049923244274 1.33508168477415e-11 1.03123550823934e-10 16.2464725886895
"HBA1" 4.37681955598418 1.88969620876951 8.38239399634276 6.54418783589436e-11 4.88632691746779e-10 14.7256549020969
"FLNA" 5.00086609681936 2.12980106281586 8.33075670841289 7.80831898301094e-11 5.64214016836919e-10 14.5564961235342
"GSN" -3.48945724616767 4.75887842710271 -8.30863394935008 8.42267488019737e-11 5.89587241613816e-10 14.4839442195059
"PKM" 3.60289483794003 1.62531181936248 8.06339126471428 1.9556633652794e-10 1.32748058734117e-09 13.6765884004772
"KRT14" 5.24672061203312 2.68973372823354 7.9463608463919 2.92831947066675e-10 1.92924576890986e-09 13.2894334013329
"P19823" 4.11528111731641 1.95199204990044 7.92684600093276 3.13254812832877e-10 2.00483080213041e-09 13.2247640055491
"P68371" 4.41052110771475 1.75239805099663 7.84357790671229 4.17797238133612e-10 2.59962725949803e-09 12.9484822252616
"SeRPINF1" -3.04114634205648 4.47146455055078 -7.80186907455392 4.82716557376754e-10 2.92239213114575e-09 12.8098899062862
"KNG1" -3.85146906759535 4.64400516719177 -7.64035456308723 8.45422571695612e-10 4.9835435805215e-09 12.2719958042684
"P07996" 4.84657480875843 2.092374929761 7.62018732815139 9.06805009957543e-10 5.20831595462794e-09 12.2047048293692
"TUBB" 4.57790681585359 1.6982673327166 7.60073487053644 9.70253567252594e-10 5.43341997661453e-09 12.1397732691191
"CFH" -4.64540693979648 4.73751401127154 -7.58442235144799 1.02688815351710e-09 5.61031576555681e-09 12.0853036515683
"P02788" 3.55684768013105 1.45774634577412 7.49689676250915 1.39262076889912e-09 7.42731076746199e-09 11.7927575585141
"KRT13" 4.37563973227331 1.73143413968201 7.48976274118742 1.42766183204857e-09 7.43712210183441e-09 11.7688921290838
"VTN" 3.40473850394065 1.52379352816746 7.46422551657584 1.56051632335702e-09 7.83886516605029e-09 11.6834379301533
"A1BG" -3.1178570669883 4.1781310077701 -7.46161613317153 1.57477201996546e-09 7.83886516605029e-09 11.674704116089
"AGT" -3.56024114385293 5.26136865827236 -7.42457936240768 1.79180411698546e-09 8.72530700445092e-09 11.5506972499242
"P13647" 5.67909047629799 2.68452794778343 7.40131633456748 1.94323724049446e-09 9.26138599725019e-09 11.4727686262316
"P02771" 3.55057726210912 1.46420732564624 7.35844225481064 2.25681197527955e-09 1.03435496613314e-08 11.3290688206961
"C4" -3.64028049895416 4.71262774733524 -7.35770186857636 2.26265148841623e-09 1.03435496613314e-08 11.3265864421029
"P04406" 3.96189062850136 1.63629529099176 7.27925022328281 2.97576017988981e-09 1.33314056059064e-08 11.0633969998059
"Q04695" 4.9154924610817 2.19354047619982 7.09764497124673 5.6162271648754e-09 2.46673506849429e-08 10.4530925827875
"P07900" 4.23055204476468 1.58250706049443 6.98952699804062 8.20165137973739e-09 3.53301905588688e-08 10.0891742196074
"KRT16" 5.02413516167696 2.5364333186317 6.89012580507093 1.16202797609288e-08 4.91121257820386e-08 9.75430768643537
"P26583" 3.86732577181345 1.35952732575011 6.83552401259174 1.4072552533071e-08 5.8375032729776e-08 9.57027181497752
"P68032" 4.41093348483242 2.10659978605528 6.59184969374074 3.30874414873035e-08 1.34756125330109e-07 8.7485403714982
"SeRPINA5" -3.06532019379044 4.45905450628944 -6.49696281469385 4.61593743226773e-08 1.84637497290709e-07 8.42853785216979
"KRT5" -4.87278360345943 4.75060084572523 -6.49146205627987 4.70588912893196e-08 1.84933186821186e-07 8.40998903585027
"SeRPINA3-7" -2.67042658018628 4.03724715903641 -6.4255366053361 5.93041074265222e-08 2.29036552819672e-07 8.18771616101751
"P09429" 3.75317509077952 1.37638461910149 6.40844664645438 6.29678439261062e-08 2.3906435660081e-07 8.13010715750503
"SeRPINC1" -3.86115060473796 5.1272802214854 -6.40142864828065 6.45370564874706e-08 2.4093834421989e-07 8.10645155391064
"KRT3" 4.21080538983614 1.74723983828543 6.36214191934833 7.40707717662468e-08 2.70541532789092e-07 7.97404603612944
