"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"P68366" -1.93623623593511 2.08258765709156 -5.04980911075859 7.00949546745523e-06 0.00157012698470997 3.65627508036405
"TUBB" -2.52882424513905 1.6982673327166 -4.71762021221118 2.14606551520331e-05 0.00195789066436421 2.59718895218992
"P68371" -2.33082576456549 1.75239805099663 -4.65746728673196 2.62217499691635e-05 0.00195789066436421 2.40789287271958
"TUBA1A" -2.59224816519298 1.56754237636975 -3.85761529006908 0.000345500860982425 0.0193480482150158 -0.0138184440758575
"P26038" -1.96037578962119 1.46456907161834 -3.75422008300783 0.000475450902968065 0.0203779377070829 -0.311198800861106
"P11142" -1.59227411203978 1.58731738439312 -3.70322655491819 0.000555758057382163 0.0203779377070829 -0.456303316226462
"VTN" 1.4826174241774 1.52379352816746 3.65212625904149 0.000649223472021581 0.0203779377070829 -0.600641673311477
"HSP90AB1" -2.25607107559951 1.74196872511885 -3.61436990780613 0.000727783489538676 0.0203779377070829 -0.706584725005539
"SeRPINA5" 1.50089701929294 4.45905450628944 3.57438330802108 0.000820887436707513 0.0204309762024981 -0.818119970700578
"FLNA" -1.88892091138696 2.12980106281586 -3.53564533072846 0.000921883383006925 0.0206501877793551 -0.925507129284924
"P07900" -1.81926968580592 1.58250706049443 -3.37725241553716 0.00147231874996144 0.0282635435097856 -1.35752816537426
"C4A" 2.03651674116979 1.92122048006565 3.34141328432216 0.00163448460571044 0.0282635435097856 -1.45364866830724
"TUBB5" -2.52882424513905 2.17356382256763 -3.33248287001485 0.00167745681986637 0.0282635435097856 -1.47750347187001
"IGFBP2" 2.93306343975645 2.56489382133601 3.31465466017059 0.0017664714693616 0.0282635435097856 -1.52500968714763
"P01024" 2.24682173195157 2.35144295118694 3.24386584355731 0.00216607556935906 0.0303284514591057 -1.71208785400559
"P01023" 2.84328775906937 2.56133651287742 3.24382679003051 0.00216631796136469 0.0303284514591057 -1.71219037099854
"TUBA1B" -1.51313045428035 1.94726573425111 -3.2187780183888 0.00232718428930253 0.0305577626504863 -1.77778493840576
"TUBB1" -1.02279765677816 1.59234073883428 -3.19993946471293 0.00245553449869979 0.0305577626504863 -1.82690595339211
"KLKB1" 1.55350887463163 2.41074025784797 3.13662870333957 0.00293756037136059 0.0342066441903333 -1.9906397874892
"P02768" 1.26896690403675 3.53014814150613 3.12085907688362 0.00307079328523102 0.0342066441903333 -2.03109569033481
"TUBB4B" -2.33082576456549 2.13742188267733 -3.10540351506419 0.00320687289284374 0.0342066441903333 -2.07061755617247
"P68133" 2.60402784604353 1.43737644173672 3.01835645728195 0.00408527952403127 0.0415955733355912 -2.29079782095393
