"Evs_Au_Control_1" "Evs_Au_Control_2" "Evs_Au_Control_3" "Evs_Au_4h_1" "Evs_Au_4h_2" "Evs_Au_4h_3" "Evs_Au_24h_1" "Evs_Au_24h_2" "Evs_Au_24h_3" "Au_Cit_5min_1" "Au_Cit_5min_2" "Au_Cit_5min_3" "Au_Cit_4h_1" "Au_Cit_4h_2" "Au_Cit_4h_3" "Au_Cit_24h_1" "Au_Cit_24h_2" "Au_Cit_24h_3" "Au_Lys_5min_1" "Au_Lys_5min_2" "Au_Lys_5min_3" "Au_Lys_4h_1" "Au_Lys_4h_2" "Au_Lys_4h_3" "Au_Lys_24h_1" "Au_Lys_24h_2" "Au_Lys_24h_3" "Evs_Control_1" "Evs_Control_2" "Evs_Control_3" "Evs_4h_1" "Evs_4h_2" "Evs_4h_3" "Evs_24h_1" "Evs_24h_2" "Evs_24h_3" "Evs_Pd_Control_1" "Evs_Pd_Control_2" "Evs_Pd_Control_3" "Evs_Pd_4h_1" "Evs_Pd_4h_2" "Evs_Pd_4h_3" "Evs_Pd_24h_1" "Evs_Pd_24h_2" "Evs_Pd_24h_3" "Pd_5min_1" "Pd_5min_2" "Pd_5min_3" "Pd_4h_1" "Pd_4h_2" "Pd_4h_3" "Pd_24h_1" "Pd_24h_2" "Pd_24h_3" "Pd_24h_4" "Evs_Pt_Control_1" "Evs_Pt_Control_2" "Evs_Pt_Control_3" "Evs_Pt_4h_1" "Evs_Pt_4h_2" "Evs_Pt_4h_3" "Evs_Pt_24h_1" "Evs_Pt_24h_2" "Evs_Pt_24h_3" "Pt_5min_1" "Pt_5min_2" "Pt_5min_3" "Pt_4h_1" "Pt_4h_2" "Pt_4h_3" "Pt_24h_1" "Pt_24h_2" "Pt_24h_3"
"CHIA" 0.4689263 NA NA 1.1527817 0.67880404 0.9906733 1.3388374 NA NA 1.0701413 0.2647363 0.44877183 1.2594359 0.19674051 0.733804 1.7478943 0.40604758 NA 0.6368165 NA NA 1.6791685 NA NA 0.21618605 NA NA 1.1527817 NA NA 1.4322038 0.733804 0.733804 1.2130947 0.44877183 0.67880404 0.8113401 NA NA 1.0183663 0.43548942 0.9906733 1.5118864 0.80301774 1.128139 0.8238957 0.41253757 0.3001696 0.7538805 0.29419577 0.25025904 1.0606298 0.33967674 0.18032062 0.25025904 0.7538805 NA NA 1.6791685 0.24451458 NA 1.5118864 0.19674051 0.46217716 0.566751 0.5205476 0.69433784 0.11943793 0.39315677 0.2647363 0.11429453 1.0090928 0.62929606
"AFP" 3.4565625 NA NA 4.5462575 3.5919795 4.5335016 6.2276983 1.4490633 1.4945948 4.714786 1.4945948 2.6057863 2.311311 2.1117163 4.10505 4.7676644 1.8773985 1.18273 4.188 1.1928048 1.128139 4.3210826 1.1928048 1.1928048 0.8450154 1.4660394 0.7021586 2.6391504 NA NA 6.396053 3.7863011 4.5335016 6.585776 3.0831938 3.8083935 2.4994519 NA NA 4.6363764 3.6451526 4.5335016 3.6344695 4.508077 4.5462575 3.6989408 2.62243 1.9648314 2.8904512 2.5399735 2.6475399 1.5763211 2.0690222 2.0690222 1.4378109 2.758374 NA NA 6.585776 2.0478952 3.4565625 6.533555 2.4753616 2.9174187 1.6485 1.6001594 1.4717243 1.42661 1.7797134 1.7289777 0.7864876 4.8748937 4.9429216
"A2M" 4.48277 NA NA 5.338697 3.5081673 3.5603695 5.2661386 2.258367 1.1478305 3.897788 2.9536662 3.008667 3.2169652 3.3954163 3.7533522 4.5462575 3.2461958 1.8641782 3.6773515 1.6668587 1.5644841 3.666594 1.6485 1.5409727 1.2594359 2.250873 0.34276497 5.2373486 NA NA 5.5614524 3.5289755 3.6881337 5.5012975 3.5289755 3.6344695 4.3333488 NA NA 5.3973484 3.9090786 4.821032 5.3241186 4.188 4.248075 4.284453 3.0364542 2.4673686 4.272298 2.7325017 2.74973 3.446313 2.5399735 2.548134 2.4514372 4.597576 NA NA 5.2230034 2.8815036 2.6643758 5.652732 3.1020408 2.6475399 2.9902492 3.325138 3.1209755 2.0619633 2.4355795 2.365116 1.3014419 3.7097735 3.5919795
"TTR" 3.5708823 NA NA 3.5708823 4.8748937 4.8748937 3.7097735 1.2594359 1.22331 3.1591063 2.2359364 2.5563133 3.226686 4.0933084 4.0933084 4.4325037 2.2359364 2.1405087 4.345644 1.6001594 1.22331 4.4325037 1.22331 1.22331 1.0558906 1.6424088 0.4321879 3.5708823 NA NA 3.2953644 4.597576 4.8748937 3.2953644 4.970352 4.597576 3.5708823 NA NA 3.5708823 2.6140983 4.597576 3.7097735 4.345644 4.597576 4.1760683 2.2359364 1.7227013 3.1591063 3.1591063 2.908409 1.9040227 0.7298163 1.0230191 1.4831331 3.5708823 NA NA 3.5708823 2.723917 4.0933084 3.5708823 4.0933084 3.1591063 4.345644 5.251727 5.251727 2.1841977 2.723917 2.5563133 0.67494285 4.8748937 4.970352
"ACTB" 2.7931497 NA NA 2.9536662 3.1020408 3.1020408 2.8636699 1.3604782 1.2750974 2.741106 1.9308932 2.250873 2.4355795 3.008667 3.2854853 4.000345 2.2284942 1.2750974 3.008667 1.3604782 1.4490633 3.008667 1.3604782 1.4490633 1.3933158 1.4490633 0.43548942 3.1591063 NA NA 4.0933084 2.8815036 3.1591063 4.5462575 2.8370724 2.8370724 3.1591063 NA NA 3.1591063 4.4075437 3.1591063 3.2364302 3.7863011 3.1591063 2.741106 2.4355795 2.2284942 3.008667 2.1915379 2.2136607 3.008667 1.9308932 2.0199516 1.3334582 2.9536662 NA NA 3.0550852 2.7670379 1.4378109 3.1591063 2.935501 2.3962524 2.6057863 2.1915379 1.5763211 1.1928048 1.3768401 1.3604782 0.48251808 3.1591063 3.1591063
"ACTG1" 2.7931497 NA NA 2.9536662 3.1020408 3.1020408 2.8636699 1.3604782 1.2750974 2.741106 1.9308932 2.250873 2.4355795 3.008667 3.2854853 4.000345 2.2284942 1.2750974 3.008667 1.3604782 1.4490633 3.008667 1.3604782 1.4490633 1.3933158 1.4490633 0.43548942 3.1591063 NA NA 4.0933084 2.8815036 3.1591063 4.5462575 2.8370724 2.8370724 3.1591063 NA NA 3.1591063 4.4075437 3.1591063 3.2364302 3.7863011 3.1591063 2.741106 2.4355795 2.2284942 3.008667 2.1915379 2.2136607 3.008667 1.9308932 2.0199516 1.3334582 2.9536662 NA NA 3.0550852 2.7670379 1.4378109 3.1591063 2.935501 2.3962524 2.6057863 2.1915379 1.5763211 1.1928048 1.3768401 1.3604782 0.48251808 3.1591063 3.1591063
"SeRPINA1" 2.6897762 NA NA 2.9719157 2.6475399 2.775722 2.9719157 1.4774222 1.2961485 3.0364542 2.040885 1.9580123 2.758374 2.1260793 2.8370724 3.4055486 2.1477482 1.5176768 3.4360862 1.3988328 1.6607251 3.3551188 1.3988328 1.3988328 1.6791685 1.4774222 1.133045 3.2657952 NA NA 2.9719157 2.1260793 2.3419504 2.8636699 2.491403 2.6475399 2.5156045 NA NA 2.9902492 2.3265955 2.9719157 2.9719157 2.6475399 2.9719157 3.2854853 2.0619633 2.2359364 3.1020408 2.3806486 1.6181829 3.2854853 1.9785166 1.6791685 2.1477482 2.7931497 NA NA 2.9719157 2.1260793 2.3962524 2.9719157 2.0619633 1.8183827 3.0550852 2.3573759 2.2359364 2.5727282 2.0902956 1.9785166 2.2359364 2.775722 3.0364542
"ITIH4" 2.5237086 NA NA 3.073803 1.42661 2.2210689 3.073803 0.64816236 0.4996848 2.1405087 1.1928048 0.9906733 1.8641782 1.5176768 2.1045597 3.3752208 0.9408858 0.38356638 3.1209755 0.81970084 0.8281002 3.14954 0.64816236 0.87068224 2.1915379 0.733804 0.20503592 2.698282 NA NA 3.008667 1.42661 1.9922645 2.7153523 1.22331 1.22331 2.6897762 NA NA 2.9536662 1.6977394 2.258367 3.5289755 2.0478952 2.2210689 2.1622777 1.118361 0.9906733 2.2210689 1.004472 0.9408858 2.7068074 0.81551564 0.98609483 0.936422 2.6812897 NA NA 3.325138 1.2646441 1.285599 3.920395 0.9906733 0.8238957 1.5292981 1.4490633 1.2908678 1.0230191 1.0090928 0.81970084 0.599558 2.2210689 1.7101917
"GC" 2.5563133 NA NA 2.2062693 3.7315125 3.7315125 2.4994519 1.6668587 1.133045 2.8018937 1.8973436 2.013006 2.3189442 1.77332 3.2953644 3.2756286 1.2490547 0.7823788 3.168694 0.91866875 0.7906058 3.2364302 0.8365383 0.8071741 0.8281002 1.3388374 0.44543982 1.7605777 NA NA 3.666594 3.7315125 3.8305883 3.446313 3.8752851 3.7315125 2.7670379 NA NA 2.365116 3.1114974 3.8305883 2.365116 3.8305883 3.8305883 2.5892193 2.0549212 2.0549212 2.4514372 1.7478943 2.3496542 1.6302679 1.6668587 2.013006 0.94536006 2.1622777 NA NA 3.1879354 1.9716659 2.9174187 3.8305883 3.073803 2.0269132 1.9376497 1.0137241 1.2387211 0.94536006 1.6791685 1.6546056 0.6982436 3.8305883 3.9659228
"HPX" 2.8018937 NA NA 2.0902956 1.6485 1.6181829 2.1405087 0.52405274 0.5100801 3.325138 0.72583795 0.89234364 2.198895 0.87068224 2.013006 3.2364302 0.4859357 0.27938128 3.325138 0.5310875 0.52405274 3.325138 0.5703628 0.52405274 0.29717934 0.54881656 0.19674051 1.9853826 NA NA 3.5919795 1.4434304 1.6061535 2.5075188 0.87068224 1.1677041 2.5399735 NA NA 2.0902956 1.5527012 2.741106 2.0902956 1.7797134 2.8725765 2.3036954 1.1677041 0.8836491 2.0760968 1.1877615 0.9769696 1.0276828 0.7538805 0.72583795 0.8836491 2.6643758 NA NA 3.2657952 1.3334582 1.9853826 3.1399965 1.0796967 1.3604782 1.7164392 1.4154608 1.0183663 0.9408858 0.86208713 0.7906058 0.38675582 2.0478952 2.0269132
