"Au_4h_D240_1" "Au_4h_D240_bis_2" "Au_4h_D240_3" "PEG_4h_D240_bis_5" "PEG_4h_D240_bis_6" "PEG_4h_D240_7" "Au_24h_D240_10" "Au_24h_D240_11" "Au_24h_D238_12" "PEG_24h_D240_13" "PEG_24h_D240_15" "PEG_24h_D240_16"
"HBB" 82 92 93 99 63 66 27 91 35 56 56 47
"ALB" 940 801 949 1173 709 816 496 1053 238 822 1023 1074
"HBA" 120 88 79 179 105 99 33 153 60 55 50 44
"APOA1" 105 84 112 96 104 107 21 74 69 80 109 92
"TF" 298 240 268 262 233 272 182 343 83 251 322 292
"C3" 263 256 276 161 171 196 114 194 96 204 270 217
"SeRPINA3-1" 67 65 72 120 54 60 44 160 34 66 64 92
"AHSG" 252 272 235 232 224 205 274 592 109 220 269 292
"SeRPINA1" 166 154 178 208 134 146 90 437 62 151 174 164
"SeRPINA3-2" 68 67 74 122 54 60 49 163 34 68 65 93
"APOA2" 7 5 5 9 10 7 4 8 3 13 9 4
"SeRPINA3-7" 40 37 48 34 31 42 12 52 17 40 45 67
"KRT7" 16 27 16 19 42 19 6 12 14 15 14 7
"KRT5" 62 56 50 39 60 70 3 0 21 39 49 27
"HSPA8" 22 21 17 2 20 9 0 0 1 4 19 4
"KRT75" 31 30 26 27 38 35 3 10 0 23 26 15
"APOC2" 3 4 1 3 4 5 0 6 0 0 2 1
"H4" 4 5 2 0 27 4 0 0 0 2 5 0
"TGM3" 0 1 2 0 3 1 1 1 2 1 0 0
"S100A9" 8 8 9 0 2 5 0 0 1 1 0 0
"CAPN1" 19 16 12 0 4 4 0 0 0 0 0 0
"AFP" 155 150 159 132 142 143 46 118 27 160 180 160
"TTR" 36 32 38 37 26 37 15 25 15 31 34 30
"ACTA1" 36 0 0 0 30 28 0 0 4 15 0 19
"GC" 101 104 119 94 85 94 28 97 32 101 119 102
"AGT" 81 80 78 58 75 81 29 64 28 67 89 62
"MDH1B" 0 9 0 0 4 8 8 20 7 5 0 0
"TUBA1D" 0 29 0 0 39 28 1 0 0 0 55 21
"A2M" 170 145 169 87 111 114 33 70 49 110 166 132
"HPX" 77 66 68 49 51 63 20 49 19 67 81 82
"SeRPINA5" 56 49 52 15 20 27 20 25 13 22 34 31
"ACTB" 59 53 49 27 48 48 6 9 19 32 52 31
"F2" 139 119 131 58 81 98 25 42 18 56 85 59
"KNG1" 84 86 87 18 52 54 12 29 15 46 64 46
"eNO1" 32 31 43 7 17 18 9 5 6 16 25 15
"DSG1" 4 7 6 0 11 9 0 0 4 1 5 5
"SeRPINC1" 69 63 76 57 58 62 19 48 22 72 82 69
"PROS1" 108 144 118 50 122 120 11 33 21 54 70 73
"TUBA4A" 32 32 32 14 39 26 1 9 6 23 62 21
"TBA1B " 32 33 31 13 41 27 1 7 6 23 57 22
"H2BC12" 5 6 3 0 11 2 0 0 0 0 2 1
"A1BG" 53 38 48 29 36 35 10 20 12 35 52 41
"GSN" 88 64 64 22 24 27 10 22 13 35 47 39
"FeTUB" 47 54 59 54 44 53 10 68 7 50 64 43
"CFL1" 6 10 9 1 3 3 2 3 5 4 5 1
"GAPDH" 32 30 27 7 20 23 3 3 6 13 27 13
"ORM1" 40 25 33 24 29 28 10 28 15 29 39 28
"ITIH4" 85 60 92 8 37 29 1 7 29 23 35 16
"SeRPINF2" 60 41 56 37 32 44 13 38 13 41 68 43
"FGB" 40 38 30 8 33 32 1 7 1 30 137 41
"CFB" 53 51 54 18 42 40 8 15 10 41 58 43
"RBP4" 10 7 16 7 5 11 4 2 3 10 16 14
"SeRPINF1" 29 31 39 17 34 36 9 22 20 29 39 31
"SeRPINA3-4" 63 60 64 72 55 61 29 116 23 62 62 57
"AMBP" 19 21 24 15 19 17 2 6 3 16 24 21
"AFM" 53 37 50 21 25 41 10 21 11 47 54 54
"C4" 51 49 57 25 39 44 9 23 31 33 43 46
"SPP2" 15 12 21 6 12 18 4 2 4 14 12 12
"APOA4" 20 11 10 0 16 17 0 0 2 8 17 8
"GALK1" 6 6 5 0 3 3 0 2 0 0 4 1
"SeRPINA7" 24 22 26 17 15 22 6 17 7 23 29 28
"LUM" 15 15 12 2 13 13 5 7 6 14 17 13
"F5" 152 165 138 50 124 118 21 44 11 51 85 50
"eeF1A1" 21 15 13 2 14 6 4 2 2 2 9 5
"F12AI" 37 33 30 29 24 24 9 26 10 27 41 28
"ADIPOQ" 15 14 15 7 14 18 5 14 2 18 15 9
"SeRPINA3-8" 21 14 19 7 13 17 9 40 7 16 22 15
"MBL" 0 2 3 0 2 1 0 0 1 1 2 4
"ARF3" 17 19 17 3 16 12 0 1 2 4 8 7
"ITIH3" 46 38 51 9 28 20 0 1 22 27 26 20
"PGLYRP1" 9 10 7 0 8 6 0 0 1 3 5 0
"CSN1S1" 4 4 3 2 5 2 0 0 1 4 1 1
"ANXA2" 8 7 4 1 13 11 0 0 4 6 4 5
"VASP" 12 17 6 0 2 2 0 0 0 1 20 2
"FGA" 35 25 28 13 29 25 0 0 2 24 74 26
"HRG" 7 8 13 1 4 6 0 0 2 3 6 3
"PFN1" 16 14 11 4 9 7 1 2 3 7 12 5
"APOe" 51 39 46 20 47 48 4 10 6 29 42 28
"CPN1" 64 71 68 5 13 10 18 29 3 3 9 4
"APOH" 35 37 36 18 25 35 9 12 12 32 45 28
"KNG2" 68 72 74 14 41 42 11 26 9 38 51 37
"CLeC3B" 11 10 11 6 7 10 1 4 2 6 15 15
"DDBX" 20 16 16 1 4 2 2 4 1 2 3 4
"FGG" 21 22 23 8 15 17 1 0 0 30 53 24
"HSP90AA1" 62 65 47 12 66 59 7 14 3 38 47 44
"SeRPINA3-5" 49 44 52 58 40 50 0 70 0 52 49 55
"F9" 40 46 44 34 45 39 5 8 7 21 28 31
"SeRPINA3-6" 54 50 57 59 46 50 18 65 12 53 51 53
"RAP1B" 12 14 14 8 14 14 4 5 2 6 10 7
"F13A1" 9 12 9 9 5 8 4 8 5 7 25 9
"CLU" 32 24 22 4 16 17 1 4 4 19 23 13
"LDHB" 15 6 17 5 8 8 1 2 2 4 12 5
"VNN1" 27 21 25 9 13 15 2 5 6 18 21 17
"F10" 51 62 52 26 68 63 6 22 4 33 40 42
"TGFBI" 18 8 8 2 1 3 9 11 2 3 18 7
"C9" 18 13 14 6 10 9 2 7 5 5 12 14
"THBS1" 26 30 29 1 10 10 2 6 5 10 11 12
"COL10A1" 12 16 14 7 19 14 4 7 2 15 13 7
"P02070" 30 33 34 37 24 22 0 46 11 24 22 20
