"Evs_Au_Control_2" "Evs_Au_Control_3" "Evs_Au_4h_1" "Evs_Au_4h_2" "Evs_Au_4h_3" "Evs_Au_24h_1" "Evs_Au_24h_2" "Evs_Au_24h_3" "Au_Cit_5min_1" "Au_Cit_5min_2" "Au_Cit_5min_3" "Au_Cit_4h_1" "Au_Cit_4h_2" "Au_Cit_4h_3" "Au_Cit_24h_1" "Au_Cit_24h_2" "Au_Cit_24h_3" "Au_Lys_5min_1" "Au_Lys_5min_2" "Au_Lys_5min_3" "Au_Lys_4h_1" "Au_Lys_4h_2" "Au_Lys_4h_3" "Au_Lys_24h_1" "Au_Lys_24h_2" "Au_Lys_24h_3" "Evs_Control_2" "Evs_Control_3" "Evs_4h_1" "Evs_4h_2" "Evs_4h_3" "Evs_24h_1" "Evs_24h_2" "Evs_24h_3" "Evs_Pd_Control_2" "Evs_Pd_Control_3" "Evs_Pd_4h_1" "Evs_Pd_4h_2" "Evs_Pd_4h_3" "Evs_Pd_24h_1" "Evs_Pd_24h_2" "Evs_Pd_24h_3" "Pd_5min_1" "Pd_5min_2" "Pd_5min_3" "Pd_4h_1" "Pd_4h_2" "Pd_4h_3" "Pd_24h_1" "Pd_24h_2" "Pd_24h_3" "Pd_24h_4" "Evs_Pt_Control_2" "Evs_Pt_Control_3" "Evs_Pt_4h_1" "Evs_Pt_4h_2" "Evs_Pt_4h_3" "Evs_Pt_24h_1" "Evs_Pt_24h_2" "Evs_Pt_24h_3" "Pt_5min_1" "Pt_5min_2" "Pt_5min_3" "Pt_4h_1" "Pt_4h_2" "Pt_4h_3" "Pt_24h_1" "Pt_24h_2" "Pt_24h_3"
"CHIA" 0 0 22 15 17 24 0 0 16 8 7 18 3 14 28 5 0 15 0 0 25 0 0 3 0 0 0 0 28 18 18 25 13 19 0 0 19 9 20 21 17 18 12 9 7 13 5 6 23 6 3 8 0 0 28 4 0 25 4 6 9 11 11 3 9 5 1 23 17
"AFP" 0 0 122 113 137 151 41 35 134 67 85 69 45 94 125 53 32 124 41 36 114 41 49 25 47 43 0 0 196 89 104 170 97 108 0 0 142 70 159 129 128 163 123 90 83 103 103 98 71 81 83 67 0 0 180 60 58 194 64 95 84 78 72 75 66 64 75 148 165
"A2M" 0 0 587 416 498 629 135 75 325 180 204 204 261 485 277 233 99 319 97 94 287 100 90 117 125 24 0 0 627 391 394 707 368 406 0 0 505 289 544 585 500 520 353 217 163 312 217 178 221 179 194 171 0 0 731 186 166 700 182 225 185 261 225 111 159 148 78 522 550
"TTR" 0 0 27 45 36 25 8 9 10 18 22 27 18 23 24 14 7 17 8 6 29 9 8 11 9 2 0 0 28 30 36 13 37 34 0 0 18 23 34 30 33 35 41 15 15 14 22 18 4 5 5 20 0 0 20 19 22 21 22 25 15 60 59 8 24 22 5 45 43
"ACTB" 0 0 65 56 51 63 22 17 50 30 34 43 33 60 118 24 12 49 21 26 68 21 22 14 21 6 0 0 107 59 61 73 44 47 0 0 71 97 66 65 61 68 47 37 47 45 38 35 60 27 30 26 0 0 75 28 17 89 32 35 43 33 28 14 20 20 6 60 63
"ACTG1" 0 0 65 56 51 63 22 17 50 30 34 43 33 60 118 24 12 49 21 26 68 21 22 14 21 6 0 0 107 59 61 73 44 47 0 0 71 97 66 65 61 68 47 37 47 45 38 35 60 27 30 26 0 0 75 28 17 89 32 35 43 33 28 14 20 20 6 60 63
"SeRPINA1" 0 0 213 209 198 224 66 51 297 126 124 149 90 162 315 104 59 319 74 77 423 61 79 234 78 360 0 0 302 149 169 201 135 160 0 0 155 118 295 194 181 225 261 130 121 218 128 120 213 107 99 130 0 0 273 110 118 237 115 153 183 242 190 216 149 120 174 225 311
"ITIH4" 0 0 146 100 105 155 32 23 102 66 76 84 63 108 232 60 20 112 33 38 199 30 39 103 36 9 0 0 158 92 99 143 80 93 0 0 127 45 114 160 124 120 98 83 66 96 71 63 137 51 67 65 0 0 190 54 41 169 51 68 65 97 80 35 66 60 21 140 136
"GC" 0 0 84 80 91 89 29 22 97 41 51 65 30 59 76 25 13 97 25 21 85 24 23 27 21 10 0 0 104 59 75 98 81 66 0 0 80 38 89 73 83 103 84 54 48 72 55 56 57 45 43 36 0 0 83 44 51 85 48 60 55 44 40 47 48 36 32 96 104
"HPX" 0 0 89 52 56 93 15 12 90 25 38 40 15 45 52 18 10 71 16 19 66 15 13 13 16 5 0 0 114 39 37 97 26 33 0 0 76 25 66 83 58 76 69 33 26 46 40 29 23 20 18 20 0 0 105 24 23 111 26 41 42 51 30 22 34 26 7 58 66
"SeRPINA5" 0 0 47 31 28 46 13 7 58 47 53 53 15 27 60 20 6 36 18 18 45 11 18 15 11 4 0 0 51 27 26 41 22 23 0 0 44 20 42 56 37 41 87 63 67 105 72 52 123 51 46 40 0 0 55 40 39 53 38 44 68 47 51 73 51 33 85 33 45
"CFH" 0 0 36 32 39 30 26 20 54 57 86 63 17 46 105 22 7 31 78 68 48 52 80 4 104 63 0 0 38 36 38 55 34 47 0 0 43 11 48 48 48 47 41 99 84 52 96 86 56 79 104 53 0 0 50 71 36 45 50 80 19 18 17 16 32 40 12 51 57
"AHSG" 0 0 174 207 193 185 67 56 248 168 160 154 78 161 196 66 41 274 67 70 220 68 81 325 80 402 0 0 261 172 170 195 193 203 0 0 162 162 241 172 205 242 234 148 182 228 176 186 125 106 122 128 0 0 203 135 140 186 130 165 173 177 177 161 168 103 120 220 255
"KNG1" 0 0 30 57 53 28 23 15 61 51 51 42 18 35 67 24 12 49 20 25 51 20 20 2 23 8 0 0 42 44 41 24 52 45 0 0 29 14 64 27 52 61 75 69 70 69 67 81 59 65 67 50 0 0 37 50 32 33 44 65 46 41 37 11 51 36 25 56 63
"SeRPINF1" 0 0 47 49 55 48 19 14 46 27 34 46 24 46 74 32 17 36 15 18 76 13 15 25 20 1 0 0 61 51 53 53 46 46 0 0 56 28 53 42 45 48 35 31 31 39 31 33 65 25 21 24 0 0 68 26 20 57 27 35 32 43 41 19 31 25 9 47 50
"APOH" 0 0 15 28 30 21 6 3 34 21 26 19 9 19 43 8 4 23 7 5 24 4 3 3 7 3 0 0 30 29 26 27 27 27 0 0 19 13 38 16 30 39 33 54 61 27 60 61 26 45 42 23 0 0 18 17 17 16 18 27 17 14 22 7 26 17 6 38 44
"GSN" 0 0 90 51 49 83 13 12 62 47 62 41 33 61 106 27 11 45 21 24 71 12 19 25 19 2 0 0 100 49 53 78 32 42 0 0 71 33 55 75 53 66 56 49 55 58 47 50 58 39 33 30 0 0 88 31 43 100 34 53 33 30 39 25 38 26 25 57 67
"FeTUB" 0 0 58 60 65 68 18 20 64 35 43 45 15 50 57 24 8 63 22 20 51 18 17 7 18 23 0 0 60 53 52 56 51 49 0 0 62 18 57 54 51 46 44 39 35 39 43 37 40 25 27 31 0 0 69 33 23 76 34 42 44 48 48 22 38 26 23 61 64
"C4" 0 0 78 46 60 87 17 18 39 44 44 35 29 51 78 30 17 36 22 28 45 17 24 18 27 56 0 0 87 47 40 68 37 36 0 0 82 24 64 90 50 60 49 29 36 39 37 32 34 20 20 23 0 0 106 32 39 98 35 38 35 55 50 19 51 42 30 57 61
"A1BG" 0 0 42 35 42 39 12 10 50 23 30 37 19 35 43 23 6 52 14 16 49 15 16 17 14 5 0 0 43 36 42 34 36 39 0 0 42 20 49 42 33 46 49 22 29 37 35 30 21 21 24 26 0 0 39 27 25 32 25 34 33 39 42 24 31 25 16 57 65
"ORM1" 0 0 20 47 40 19 10 7 45 23 31 32 22 27 33 12 6 43 15 11 34 15 16 6 10 4 0 0 27 33 39 13 47 42 0 0 25 21 36 20 36 37 41 34 26 32 29 23 25 22 19 27 0 0 22 23 26 17 22 33 34 34 30 17 24 20 16 44 39
"SeRPINF2" 0 0 71 46 45 72 8 12 62 24 27 44 19 39 48 28 7 50 16 14 65 14 15 18 11 5 0 0 110 35 45 76 37 35 0 0 62 18 61 58 37 50 63 29 25 52 32 33 35 22 27 27 0 0 87 24 20 82 26 25 41 47 43 25 31 20 18 58 66
"KRT5" 0 0 21 50 39 33 63 48 54 60 54 34 23 29 76 34 41 64 71 68 55 45 67 12 62 21 0 0 24 64 38 13 57 61 0 0 25 155 44 30 38 36 61 70 88 53 48 44 53 59 49 50 0 0 40 47 37 40 24 66 218 38 38 29 35 50 36 33 36
"PLG" 0 0 83 83 111 90 46 43 65 89 93 64 43 105 131 49 20 57 24 35 71 14 32 0 34 3 0 0 99 118 107 113 85 108 0 0 100 34 114 90 93 117 56 74 69 48 82 79 42 56 68 51 0 0 143 46 47 129 65 68 35 33 36 10 45 52 5 121 123
"APOe" 0 0 18 27 27 23 11 11 22 15 19 28 14 20 42 16 7 20 15 11 18 17 19 0 19 6 0 0 25 26 20 10 20 25 0 0 22 8 25 22 20 25 27 20 20 25 23 18 23 14 16 16 0 0 27 15 12 24 15 25 25 23 22 12 16 20 8 24 30
"F5" 0 0 57 62 70 51 15 12 60 46 60 69 17 69 104 30 0 40 35 44 61 23 39 0 37 8 0 0 81 69 77 64 47 66 0 0 64 15 78 55 62 85 67 90 101 72 93 76 69 70 65 51 0 0 82 45 22 83 32 59 32 19 24 13 27 17 11 74 83
"SeRPINC1" 0 0 98 79 73 107 34 33 77 50 45 69 43 63 88 45 30 84 21 27 86 16 23 33 28 0 0 0 124 57 65 103 68 64 0 0 84 34 81 97 76 74 75 44 42 64 52 45 63 33 33 39 0 0 133 41 32 140 36 54 59 78 64 36 42 42 19 80 86
