"Original.ID" "Sample.Names" "Evs" "Citrate" "Lysine" "Au" "Pd" "Pt" "Control" "Sample.Order" "Time" "Particle" "short_setup" "Fill" "Color" "Setup" "Fill_short" "Color_short" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6"
"Evs_Au_Control_2" "Evs_Au_Control_2" "Evs_Au_Control_2" "Yes" "NO" "NO" "Yes" "NO" "NO" "Yes" 2 "5min" "Au" "Au_Evs_Yes_5min" "white" "firebrick2" "Au_Evs_Yes" "white" "red" -45.1881775363574 -11.6893660717152 7.34881348987324 -0.722288332587386 3.60587778556216 -1.23782279014044
"Evs_Au_Control_3" "Evs_Au_Control_3" "Evs_Au_Control_3" "Yes" "NO" "NO" "Yes" "NO" "NO" "Yes" 3 "5min" "Au" "Au_Evs_Yes_5min" "white" "firebrick2" "Au_Evs_Yes" "white" "red" -45.3897185431523 -10.2818082614469 7.77592685081753 -2.91148251763521 1.05729149127001 -1.41437727517137
"Evs_Au_4h_1" "Evs_Au_4h_1" "Evs_Au_4h_1" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" 1 "4h" "Au" "Au_Evs_Yes_4h" "white" "firebrick2" "Au_Evs_Yes" "white" "green" -5.66302061406923 18.1024303164056 3.32815626481242 -2.73272259447447 -4.26738640851746 2.58644802232893
"Evs_Au_4h_2" "Evs_Au_4h_2" "Evs_Au_4h_2" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" 2 "4h" "Au" "Au_Evs_Yes_4h" "white" "firebrick2" "Au_Evs_Yes" "white" "green" -8.14910780882264 11.2773801542294 -7.0232979683052 2.92373745225537 1.99737591442219 -1.28529321554719
"Evs_Au_4h_3" "Evs_Au_4h_3" "Evs_Au_4h_3" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" 3 "4h" "Au" "Au_Evs_Yes_4h" "white" "firebrick2" "Au_Evs_Yes" "white" "green" -7.13303384936097 15.9783174875492 -3.21778097694274 0.0228963825468098 -0.768723339797348 -1.7303708242734
"Evs_Au_24h_1" "Evs_Au_24h_1" "Evs_Au_24h_1" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" 1 "24h" "Au" "Au_Evs_Yes_24h" "white" "firebrick2" "Au_Evs_Yes" "white" "blue" -6.62382040259691 17.4513052090981 1.00842227971861 -2.2867935869624 -3.46618556366724 1.5502683613038
"Evs_Au_24h_2" "Evs_Au_24h_2" "Evs_Au_24h_2" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" 2 "24h" "Au" "Au_Evs_Yes_24h" "white" "firebrick2" "Au_Evs_Yes" "white" "blue" -17.346170658358 -7.10605222496974 -18.5072176163049 10.8528638685631 7.05298810815744 1.1926959343133
"Evs_Au_24h_3" "Evs_Au_24h_3" "Evs_Au_24h_3" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" 3 "24h" "Au" "Au_Evs_Yes_24h" "white" "firebrick2" "Au_Evs_Yes" "white" "blue" -15.4510346742208 -7.26083809502709 -16.2554316884759 10.9811493250834 7.19131685230335 5.1111125229613
"Au_Cit_5min_1" "AuCit_5_min_1" "Au_Cit_5min_1" "NO" "Yes" "NO" "Yes" "NO" "NO" "Yes" 1 "5min" "Au_Cit" "Au_Cit_Evs_NO_5min" "steelblue" "steelblue" "Au_Cit_Evs_NO" "yellow" "yellow" 17.5622600556134 -1.83498199939057 5.94608748056987 1.18776544645668 -1.00835605271686 -2.80912218824137
"Au_Cit_5min_2" "AuCit_5_min_2" "Au_Cit_5min_2" "NO" "Yes" "NO" "Yes" "NO" "NO" "Yes" 2 "5min" "Au_Cit" "Au_Cit_Evs_NO_5min" "steelblue" "steelblue" "Au_Cit_Evs_NO" "yellow" "yellow" 17.6168307257604 -6.884767174576 -3.79475675838966 2.70495120924575 -1.0689887142291 -1.25311166415634
