"Original.ID" "Sample.Names" "Evs" "Citrate" "Lysine" "Au" "Pd" "Pt" "Control" "Sample.Order" "Time" "Particle" "short_setup" "Setup" "Fill" "Color" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "Shape"
"Evs_Au_4h_1" "Evs_Au_4h_1" "Evs_Au_4h_1" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" 1 "4h" "Au" "Au_Evs_Yes_4h" "Au_Evs_Yes" "white" "yellow" -14.6251020835147 7.83239317969487 -7.4645987162307 7.49875000496341 -1.19091084949631 4.94995396713697 22
"Evs_Au_4h_2" "Evs_Au_4h_2" "Evs_Au_4h_2" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" 2 "4h" "Au" "Au_Evs_Yes_4h" "Au_Evs_Yes" "white" "yellow" 3.03454033232984 -5.57150671047393 0.747186173122489 -7.44351203432664 -7.95815706203139 4.04588129001363 22
"Evs_Au_4h_3" "Evs_Au_4h_3" "Evs_Au_4h_3" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" 3 "4h" "Au" "Au_Evs_Yes_4h" "Au_Evs_Yes" "white" "yellow" -6.12884829596035 -0.0184187485293631 2.84961913411763 -7.16905292817386 -4.54501072008432 -3.87353261558631 22
"Evs_Au_24h_1" "Evs_Au_24h_1" "Evs_Au_24h_1" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" 1 "24h" "Au" "Au_Evs_Yes_24h" "Au_Evs_Yes" "white" "yellow" -12.1526488082658 6.24422701303623 -5.29720485264652 7.79660533873335 -5.96524243719176 3.69969837093727 24
"Evs_Au_24h_2" "Evs_Au_24h_2" "Evs_Au_24h_2" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" 2 "24h" "Au" "Au_Evs_Yes_24h" "Au_Evs_Yes" "white" "yellow" 31.4261122171754 -9.39093156934732 -13.4456065482309 -0.641937738778977 5.42805897272609 0.631804556207695 24
"Evs_Au_24h_3" "Evs_Au_24h_3" "Evs_Au_24h_3" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" 3 "24h" "Au" "Au_Evs_Yes_24h" "Au_Evs_Yes" "white" "yellow" 26.2816958726534 -7.37470703262845 -16.9694127877731 1.50304665632555 6.31241969531457 -3.09806487123068 24
"Evs_4h_1" "Evs_4h_1" "Evs_4h_1" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" 1 "4h" "No_particle" "No_particle_Evs_Yes_4h" "No_particle_Evs_Yes" "white" "gray" -16.9916446013371 0.954617142185891 -2.08873504706563 3.81512491556819 5.69915004298416 -3.81875876588079 22
"Evs_4h_2" "Evs_4h_2" "Evs_4h_2" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" 2 "4h" "No_particle" "No_particle_Evs_Yes_4h" "No_particle_Evs_Yes" "white" "gray" -0.657438945803529 -13.5539931701381 6.06700017730609 -3.9103050550557 3.5777778880805 5.61842755242969 22
"Evs_4h_3" "Evs_4h_3" "Evs_4h_3" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" 3 "4h" "No_particle" "No_particle_Evs_Yes_4h" "No_particle_Evs_Yes" "white" "gray" -11.0091303069245 -5.6926491352516 4.55707197929603 -4.61750191533185 5.32270249987421 -5.04895629757864 22
"Evs_24h_1" "Evs_24h_1" "Evs_24h_1" "Yes" "NO" "NO" "NO" "NO" "NO" "NO" 1 "24h" "No_particle" "No_particle_Evs_Yes_24h" "No_particle_Evs_Yes" "white" "gray" -18.8026923359321 1.69234941642763 -1.76733382524337 3.11896565736287 9.71330351532182 -4.28216309581654 24
