"Original.ID" "Sample.Names" "Evs" "Citrate" "Lysine" "Au" "Pd" "Pt" "Control" "Sample.Order" "Time" "Particle" "short_setup" "Setup" "Fill" "Color" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "Shape"
"Evs_Au_Control_1" "Evs_Au_Control_1" "Evs_Au_Control_1" "Yes" "NO" "NO" "Yes" "NO" "NO" "Yes" "1" "5min" "Au" "Au_Evs_Yes_5min" "Au_Evs_Yes" "white" "yellow" -16.0552966816906 2.47453505871865 12.8968784272144 -1.82224381131084 0.278895052389311 -3.26503174181959 21
"Evs_Au_Control_2" "Evs_Au_Control_2" "Evs_Au_Control_2" "Yes" "NO" "NO" "Yes" "NO" "NO" "Yes" "2" "5min" "Au" "Au_Evs_Yes_5min" "Au_Evs_Yes" "white" "yellow" -40.846648681666 -12.9221094492702 -7.48818248696243 0.399740449207315 4.10691493003363 -0.302312188967762 21
"Evs_Au_Control_3" "Evs_Au_Control_3" "Evs_Au_Control_3" "Yes" "NO" "NO" "Yes" "NO" "NO" "Yes" "3" "5min" "Au" "Au_Evs_Yes_5min" "Au_Evs_Yes" "white" "yellow" -41.3284650919573 -12.5614185572598 -7.68228748365928 2.17989096073022 2.4812602637494 -0.481730111427281 21
"Evs_Au_4h_1" "Evs_Au_4h_1" "Evs_Au_4h_1" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" "1" "4h" "Au" "Au_Evs_Yes_4h" "Au_Evs_Yes" "white" "yellow" -10.3143780375546 10.0333679796895 -3.81739306465992 2.26449896264886 -5.93517467517598 1.22155877847445 22
"Evs_Au_4h_2" "Evs_Au_4h_2" "Evs_Au_4h_2" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" "2" "4h" "Au" "Au_Evs_Yes_4h" "Au_Evs_Yes" "white" "yellow" -6.20428706903785 14.5131585566689 3.50156550700739 -2.33399711319299 -0.0496858384116523 -1.12241846634811 22
"Evs_Au_4h_3" "Evs_Au_4h_3" "Evs_Au_4h_3" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" "3" "4h" "Au" "Au_Evs_Yes_4h" "Au_Evs_Yes" "white" "yellow" -5.63868006481724 17.8575975952309 -1.07481032888432 0.0464658599971399 -1.76334564053323 -1.2921520132706 22
"Evs_Au_24h_1" "Evs_Au_24h_1" "Evs_Au_24h_1" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" "1" "24h" "Au" "Au_Evs_Yes_24h" "Au_Evs_Yes" "white" "yellow" -11.2560245848953 9.77277406143431 -1.13424385983154 1.91729473150132 -5.34769707418876 0.0127368931131366 24
"Evs_Au_24h_2" "Evs_Au_24h_2" "Evs_Au_24h_2" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" "2" "24h" "Au" "Au_Evs_Yes_24h" "Au_Evs_Yes" "white" "yellow" -14.2418102104632 -2.61138670904465 19.1243969296205 -9.44416572098485 2.00931765771506 1.29623191213901 24
"Evs_Au_24h_3" "Evs_Au_24h_3" "Evs_Au_24h_3" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" "3" "24h" "Au" "Au_Evs_Yes_24h" "Au_Evs_Yes" "white" "yellow" -12.5142397250853 -3.95383204267447 17.6799579546637 -9.98745240043495 2.81211851624969 5.02769657382958 24
"Au_Cit_5min_1" "AuCit_5_min_1" "Au_Cit_5min_1" "NO" "Yes" "NO" "Yes" "NO" "NO" "Yes" "1" "5min" "Au_Cit" "Au_Cit_Evs_NO_5min" "Au_Cit_Evs_NO" "gold" "gold" 14.3985860047153 -8.17840532437818 -2.46052986542198 -1.67330981584656 -0.731646333137108 -4.32763758727985 21
"Au_Cit_5min_2" "AuCit_5_min_2" "Au_Cit_5min_2" "NO" "Yes" "NO" "Yes" "NO" "NO" "Yes" "2" "5min" "Au_Cit" "Au_Cit_Evs_NO_5min" "Au_Cit_Evs_NO" "gold" "gold" 21.1144006564654 -1.69162949394393 0.998430678432855 -1.80337147814351 -1.24871345268399 1.35362132978828 21
