"Original.ID" "Sample.Names" "Evs" "Citrate" "Lysine" "Au" "Pd" "Pt" "Control" "Sample.Order" "Time" "Particle" "short_setup" "Fill" "Color" "Setup" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "Shape"
"Evs_Au_Control_1" "Evs_Au_Control_1" "Evs_Au_Control_1" "Yes" "NO" "NO" "Yes" "NO" "NO" "Yes" 1 "5min" "Au" "Au_Evs_Yes_5min" "white" "yellow" "Au_Evs_Yes" -11.6567029728336 8.66202822008894 -10.1617831101819 2.11437907735463 -2.10243499317837 1.65179836480949 21
"Evs_Au_Control_2" "Evs_Au_Control_2" "Evs_Au_Control_2" "Yes" "NO" "NO" "Yes" "NO" "NO" "Yes" 2 "5min" "Au" "Au_Evs_Yes_5min" "white" "yellow" "Au_Evs_Yes" -43.6038402179264 -13.7582357003554 7.60212965900737 0.0903710027079687 -3.99643733238263 1.15183009002153 21
"Evs_Au_Control_3" "Evs_Au_Control_3" "Evs_Au_Control_3" "Yes" "NO" "NO" "Yes" "NO" "NO" "Yes" 3 "5min" "Au" "Au_Evs_Yes_5min" "white" "yellow" "Au_Evs_Yes" -43.786473832694 -12.579943283288 8.75707008061082 -2.25339179801514 -1.65330619853404 1.20458821861281 21
"Evs_Au_4h_1" "Evs_Au_4h_1" "Evs_Au_4h_1" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" 1 "4h" "Au" "Au_Evs_Yes_4h" "white" "yellow" "Au_Evs_Yes" -5.40189979246773 17.3137957040791 5.1954865915179 -2.48711445306229 4.89890314676664 -2.21245584274873 22
"Evs_Au_4h_2" "Evs_Au_4h_2" "Evs_Au_4h_2" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" 2 "4h" "Au" "Au_Evs_Yes_4h" "white" "yellow" "Au_Evs_Yes" -7.95823977206911 10.7551399740789 -6.52652300162934 2.47563739481823 0.366375475126968 1.41210224017522 22
"Evs_Au_4h_3" "Evs_Au_4h_3" "Evs_Au_4h_3" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" 3 "4h" "Au" "Au_Evs_Yes_4h" "white" "yellow" "Au_Evs_Yes" -6.92710561176967 15.2564320496266 -1.44602762938257 -0.448816155606567 3.05731876888182 1.66170577135488 22
"Evs_Au_24h_1" "Evs_Au_24h_1" "Evs_Au_24h_1" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" 1 "24h" "Au" "Au_Evs_Yes_24h" "white" "yellow" "Au_Evs_Yes" -6.42635879842078 16.7555074730623 2.5110192366191 -2.09303434948893 4.26496296889722 -1.09495747387261 24
"Evs_Au_24h_2" "Evs_Au_24h_2" "Evs_Au_24h_2" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" 2 "24h" "Au" "Au_Evs_Yes_24h" "white" "yellow" "Au_Evs_Yes" -16.8877440307245 -7.40259625644083 -20.0514440870371 9.73170936961668 -2.52443956255493 -1.55565034354341 24
"Evs_Au_24h_3" "Evs_Au_24h_3" "Evs_Au_24h_3" "Yes" "NO" "NO" "Yes" "NO" "NO" "NO" 3 "24h" "Au" "Au_Evs_Yes_24h" "white" "yellow" "Au_Evs_Yes" -14.8592316833815 -7.56190950544826 -16.9949485873505 9.7227976823182 -2.78694162661946 -5.60044575721199 24
"Au_Cit_5min_1" "AuCit_5_min_1" "Au_Cit_5min_1" "NO" "Yes" "NO" "Yes" "NO" "NO" "Yes" 1 "5min" "Au_Cit" "Au_Cit_Evs_NO_5min" "gold" "gold" "Au_Cit_Evs_NO" 18.4367526463568 -2.104117778855 5.4678336698653 1.80079036698873 -0.214739192630561 3.51576741957745 21
"Au_Cit_5min_2" "AuCit_5_min_2" "Au_Cit_5min_2" "NO" "Yes" "NO" "Yes" "NO" "NO" "Yes" 2 "5min" "Au_Cit" "Au_Cit_Evs_NO_5min" "gold" "gold" "Au_Cit_Evs_NO" 18.6055990718337 -6.95920158749807 -3.45049253821937 1.76873448097912 2.04234290099898 0.266579155924523 21
"Au_Cit_5min_3" "AuCit_5_min_3" "Au_Cit_5min_3" "NO" "Yes" "NO" "Yes" "NO" "NO" "Yes" 3 "5min" "Au_Cit" "Au_Cit_Evs_NO_5min" "gold" "gold" "Au_Cit_Evs_NO" 19.8606757548312 -5.07276056609058 -1.87256182494787 3.75714082547955 1.71611626780094 1.39502999809009 21
"Au_Cit_4h_1" "AuCit_4h_1" "Au_Cit_4h_1" "NO" "Yes" "NO" "Yes" "NO" "NO" "NO" 1 "4h" "Au_Cit" "Au_Cit_Evs_NO_4h" "gold" "gold" "Au_Cit_Evs_NO" 18.844193609336 0.177788270453081 5.53107508154771 4.88749622851759 0.254321189503335 0.898526519506893 22
"Au_Cit_4h_2" "AuCit_4h_2" "Au_Cit_4h_2" "NO" "Yes" "NO" "Yes" "NO" "NO" "NO" 2 "4h" "Au_Cit" "Au_Cit_Evs_NO_4h" "gold" "gold" "Au_Cit_Evs_NO" 12.8864556179544 -0.845058780780188 1.52049907491654 5.7235182549275 -0.519970015913014 -7.62025235418482 22
"Au_Cit_4h_3" "AuCit_4h_3" "Au_Cit_4h_3" "NO" "Yes" "NO" "Yes" "NO" "NO" "NO" 3 "4h" "Au_Cit" "Au_Cit_Evs_NO_4h" "gold" "gold" "Au_Cit_Evs_NO" 17.8909733658696 4.78793415372439 8.12691274342792 9.65901371215253 -1.18447837585683 -1.85602636529795 22
"Au_Cit_24h_1" "AuCit_24h_1" "Au_Cit_24h_1" "NO" "Yes" "NO" "Yes" "NO" "NO" "NO" 1 "24h" "Au_Cit" "Au_Cit_Evs_NO_24h" "gold" "gold" "Au_Cit_Evs_NO" 19.8491496385933 2.28529774962731 6.46451497389111 6.09998278731102 -3.73136189729325 0.572862779570973 24
"Au_Cit_24h_2" "AuCit_24h_2" "Au_Cit_24h_2" "NO" "Yes" "NO" "Yes" "NO" "NO" "NO" 2 "24h" "Au_Cit" "Au_Cit_Evs_NO_24h" "gold" "gold" "Au_Cit_Evs_NO" 16.6230164870583 -2.14615252902517 0.293766362187046 7.37482904010255 1.85762799149916 -4.71168255538623 24
"Au_Cit_24h_3" "AuCit_24h_3" "Au_Cit_24h_3" "NO" "Yes" "NO" "Yes" "NO" "NO" "NO" 3 "24h" "Au_Cit" "Au_Cit_Evs_NO_24h" "gold" "gold" "Au_Cit_Evs_NO" 10.4823554595167 -11.612962588883 -5.24564108544878 -0.875941146631819 0.206654161344896 -14.5056315839203 24
"Au_Lys_5min_1" "AuLys_5_min_1" "Au_Lys_5min_1" "NO" "NO" "Yes" "Yes" "NO" "NO" "Yes" 1 "5min" "Au_Lys" "Au_Lys_Evs_NO_5min" "goldenrod3" "goldenrod3" "Au_Lys_Evs_NO" 17.3367676038407 -2.84988405636986 3.1119145479955 1.24716617392438 -2.29667744483246 0.309879980178262 21
"Au_Lys_5min_2" "AuLys_5_min_2" "Au_Lys_5min_2" "NO" "NO" "Yes" "Yes" "NO" "NO" "Yes" 2 "5min" "Au_Lys" "Au_Lys_Evs_NO_5min" "goldenrod3" "goldenrod3" "Au_Lys_Evs_NO" 15.6311021346192 -13.5147231392028 -4.55127460703558 -11.8190748114087 -2.83901488147341 -1.48588656153137 21
"Au_Lys_5min_3" "AuLys_5_min_3" "Au_Lys_5min_3" "NO" "NO" "Yes" "Yes" "NO" "NO" "Yes" 3 "5min" "Au_Lys" "Au_Lys_Evs_NO_5min" "goldenrod3" "goldenrod3" "Au_Lys_Evs_NO" 16.3431840772324 -12.0687562041102 -4.27936224885636 -10.9121800985075 -4.10925725469015 -1.66609917340529 21
"Au_Lys_4h_1" "AuLys_4h_1" "Au_Lys_4h_1" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" 1 "4h" "Au_Lys" "Au_Lys_Evs_NO_4h" "goldenrod3" "goldenrod3" "Au_Lys_Evs_NO" 17.9359547344497 0.812607098806223 6.04959566443926 4.6169516652284 -3.45799933611122 -2.15180876833624 22
"Au_Lys_4h_2" "AuLys_4h_2" "Au_Lys_4h_2" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" 2 "4h" "Au_Lys" "Au_Lys_Evs_NO_4h" "goldenrod3" "goldenrod3" "Au_Lys_Evs_NO" 13.8456777702763 -10.8516873149156 -3.66001607630566 -9.1233579396339 -2.27929134526079 -3.89458130521095 22
"Au_Lys_4h_3" "AuLys_4h_3" "Au_Lys_4h_3" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" 3 "4h" "Au_Lys" "Au_Lys_Evs_NO_4h" "goldenrod3" "goldenrod3" "Au_Lys_Evs_NO" 15.1261875971731 -12.7679390694541 -5.01312888196107 -10.9153712400003 -1.53189704134564 -2.93099284380987 22
"Au_Lys_24h_1" "AuLys_24h_1" "Au_Lys_24h_1" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" 1 "24h" "Au_Lys" "Au_Lys_Evs_NO_24h" "goldenrod3" "goldenrod3" "Au_Lys_Evs_NO" 7.88118997066599 -3.44623655258081 5.17468170318699 -0.307479311233742 1.9689938549807 -10.7046896443305 24
"Au_Lys_24h_2" "AuLys_24h_2" "Au_Lys_24h_2" "NO" "NO" "Yes" "Yes" "NO" "NO" "NO" 2 "24h" "Au_Lys" "Au_Lys_Evs_NO_24h" "goldenrod3" "goldenrod3" "Au_Lys_Evs_NO" 14.7134332148289 -12.6023154745671 -5.03460524693703 -9.15930878047502 -0.76419758197247 -0.149144800335796 24
