"Original.ID" "Sample.Names" "Particle" "Time" "Dx" "Sample.Order" "short_setup" "Fill" "Color" "PC1" "PC2" "PC3" "PC4" "PC5" "PC6"
"Au_4h_D240_1" "1_Au_4h_D240.xlsx" "Au_4h_D240_1" "Au" "4h" "D240" 1 "Au_4h" "white" "green" -6.98097715409948 11.4757174076333 0.721021198248239 2.29020425194512 3.45014436783638 -2.11109291545391
"Au_4h_D240_bis_2" "2_Au_4h_D240_bis.xlsx" "Au_4h_D240_bis_2" "Au" "4h" "D240" 2 "Au_4h" "white" "green" -6.74796757093523 12.2646500422521 -0.156489459749859 -0.20865317232831 4.36013821477574 -1.33028864079012
"Au_4h_D240_3" "3_Au_4h_D240.xlsx" "Au_4h_D240_3" "Au" "4h" "D240" 3 "Au_4h" "white" "green" -4.88663789878253 12.1701560936542 -0.309191764525761 3.43867263657215 2.64285097315356 1.11602474990685
"PEG_4h_D240_bis_5" "5_PEG_4h_D240_bis.xlsx" "PEG_4h_D240_bis_5" "PEG" "4h" "D240" 5 "PEG_4h" "white" "red" 8.14093226217187 -11.6691584787216 -9.14587841411457 4.20995888847745 14.7637170777091 -3.22325851215321
"PEG_4h_D240_bis_6" "6_PEG_4h_D240_bis.xlsx" "PEG_4h_D240_bis_6" "PEG" "4h" "D240" 6 "PEG_4h" "white" "red" -12.8453870500397 -7.9983764646351 4.9318277891706 -17.5483652997793 3.2056982766742 -1.46972356375063
"PEG_4h_D240_7" "7_PEG_4h_D240.xlsx" "PEG_4h_D240_7" "PEG" "4h" "D240" 7 "PEG_4h" "white" "red" -9.17911871906469 -0.714076056808082 2.44950366056074 -2.71658339842841 -1.16392088051706 6.30410625094416
"Au_24h_D240_10" "10_Au_24h_D240.xlsx" "Au_24h_D240_10" "Au" "24h" "D240" 10 "Au_24h" "darkgreen" "darkgreen" 22.8991478552117 2.84813913220409 -1.82569109056477 -6.72458467607617 -7.53918423381987 -5.97377860716977
"Au_24h_D240_11" "11_Au_24h_D240.xlsx" "Au_24h_D240_11" "Au" "24h" "D240" 11 "Au_24h" "darkgreen" "darkgreen" 21.6811494578001 3.64353630019101 -5.46376207952986 -3.90112010078023 -1.01092611624135 8.43927188421734
"Au_24h_D238_12" "12_Au_24h_D238.xlsx" "Au_24h_D238_12" "Au" "24h" "D238" 12 "Au_24h" "darkgreen" "darkgreen" 11.4878561143872 -4.9877484846404 20.1023795046976 7.42048764083183 0.950444435741989 -1.89301540473144
"PEG_24h_D240_13" "13_PEG_24h_D240.xlsx" "PEG_24h_D240_13" "PEG" "24h" "D240" 13 "PEG_24h" "firebrick4" "firebrick4" -6.90468395754071 -7.58591206916814 -1.144598286286 4.71987043976906 -4.32344974421625 9.7926222658219
"PEG_24h_D240_15" "15_PEG_24h_D240.xlsx" "PEG_24h_D240_15" "PEG" "24h" "D240" 15 "PEG_24h" "firebrick4" "firebrick4" -10.3114015873784 -2.20640387665256 -4.96379121376017 2.53258769033714 -8.35912401691419 -7.28523762487767
"PEG_24h_D240_16" "16_PEG_24h_D240.xlsx" "PEG_24h_D240_16" "PEG" "24h" "D240" 16 "PEG_24h" "firebrick4" "firebrick4" -6.35291175173006 -7.24052354530893 -5.19532984414618 6.48752509945979 -6.97638835418219 -2.36562988196352
