"accession" "Gene.Name" "Protein.Name" "Organism.Source" "Taxonomy" "Gene.Name.description" "Pe" "SV"
"CHIA" "Q95M17" "CHIA" "Acidic mammalian chitinase" "Bos taurus" "9913" "CHIA" "1" "1"
"AFP" "Q3SZ57" "AFP" "Alpha-fetoprotein" "Bos taurus" "9913" "AFP" "2" "1"
"A2M" "Q7SIH1" "A2M" "Alpha-2-macroglobulin" "Bos taurus" "9913" "A2M" "1" "2"
"TTR" "O46375" "TTR" "Transthyretin" "Bos taurus" "9913" "TTR" "1" "1"
"ACTB" "P60712" "ACTB" "Actin. cytoplasmic 1" "Bos taurus" "9913" "ACTB" "1" "1"
"ACTG1" "P63258" "ACTG1" "Actin. cytoplasmic 2" "Bos taurus" "9913" "ACTG1" "1" "1"
"SeRPINA1" "P34955" "SeRPINA1" "Alpha-1-antiproteinase" "Bos taurus" "9913" "SeRPINA1" "1" "1"
"ITIH4" "Q3T052" "ITIH4" "Inter-alpha-trypsin inhibitor heavy chain H4" "Bos taurus" "9913" "ITIH4" "1" "1"
"GC" "Q3MHN5" "GC" "Vitamin D-binding protein" "Bos taurus" "9913" "GC" "2" "1"
"HPX" "Q3SZV7" "HPX" "Hemopexin" "Bos taurus" "9913" "HPX" "2" "1"
"SeRPINA5" "Q9N2I2" "SeRPINA5" "Plasma serine protease inhibitor" "Bos taurus" "9913" "SeRPINA5" "1" "1"
"CFH" "Q28085" "CFH" "Complement factor H" "Bos taurus" "9913" "CFH" "1" "3"
"AHSG" "P12763" "AHSG" "Alpha-2-HS-glycoprotein" "Bos taurus" "9913" "AHSG" "1" "2"
"KNG1" "P01044" "KNG1" "Kininogen-1" "Bos taurus" "9913" "KNG1" "1" "1"
"SeRPINF1" "Q95121" "SeRPINF1" "Pigment epithelium-derived factor" "Bos taurus" "9913" "SeRPINF1" "1" "1"
"APOH" "P17690" "APOH" "Beta-2-glycoprotein 1" "Bos taurus" "9913" "APOH" "1" "4"
"GSN" "Q3SX14" "GSN" "Gelsolin" "Bos taurus" "9913" "GSN" "2" "1"
"FeTUB" "Q58D62" "FeTUB" "Fetuin-B" "Bos taurus" "9913" "FeTUB" "1" "1"
"C4" "P01030" "C4" "Complement C4 (Fragment)" "Bos taurus" "9913" "C4" "1" "2"
"A1BG" "Q2KJF1" "A1BG" "Alpha-1B-glycoprotein" "Bos taurus" "9913" "A1BG" "1" "1"
"ORM1" "Q3SZR3" "ORM1" "Alpha-1-acid glycoprotein" "Bos taurus" "9913" "ORM1" "2" "1"
"SeRPINF2" "P28800" "SeRPINF2" "Alpha-2-antiplasmin" "Bos taurus" "9913" "SeRPINF2" "1" "2"
"KRT5" "Q5XQN5" "KRT5" "Keratin. type II cytoskeletal 5" "Bos taurus" "9913" "KRT5" "1" "1"
"PLG" "P06868" "PLG" "Plasminogen" "Bos taurus" "9913" "PLG" "1" "2"
"APOe" "Q03247" "APOe" "Apolipoprotein e" "Bos taurus" "9913" "APOe" "1" "1"
"F5" "Q28107" "F5" "Coagulation factor V" "Bos taurus" "9913" "F5" "1" "1"
"SeRPINC1" "P41361" "SeRPINC1" "Antithrombin-III" "Bos taurus" "9913" "SeRPINC1" "1" "2"
"CFB" "P81187" "CFB" "Complement factor B" "Bos taurus" "9913" "CFB" "1" "2"
"CLeC3B" "Q2KIS7" "CLeC3B" "Tetranectin" "Bos taurus" "9913" "CLeC3B" "2" "1"
"SeRPINA7" "Q9TT36" "SeRPINA7" "Thyroxine-binding globulin" "Bos taurus" "9913" "SeRPINA7" "2" "1"
"AMBP" "P00978" "AMBP" "Protein AMBP" "Bos taurus" "9913" "AMBP" "1" "2"
"THBS1" "Q28178" "THBS1" "Thrombospondin-1" "Bos taurus" "9913" "THBS1" "2" "2"
"AFM" "G3MYZ3" "AFM" "Afamin" "Bos taurus" "9913" "AFM" "1" "1"
"ADIPOQ" "Q3Y5Z3" "ADIPOQ" "Adiponectin" "Bos taurus" "9913" "ADIPOQ" "1" "1"
"CLU" "P17697" "CLU" "Clusterin" "Bos taurus" "9913" "CLU" "1" "1"
"KRT75" "Q08D91" "KRT75" "Keratin. type II cytoskeletal 75" "Bos taurus" "9913" "KRT75" "2" "1"
"KRT7" "Q29S21" "KRT7" "Keratin. type II cytoskeletal 7" "Bos taurus" "9913" "KRT7" "2" "1"
"SeRPINA3-2" "A2I7M9" "SeRPINA3-2" "Serpin A3-2" "Bos taurus" "9913" "SeRPINA3-2" "3" "1"
"FGA" "P02672" "FGA" "Fibrinogen alpha chain" "Bos taurus" "9913" "FGA" "1" "5"
"SeRPINA3-7" "A2I7N3" "SeRPINA3-7" "Serpin A3-7" "Bos taurus" "9913" "SeRPINA3-7" "3" "1"
"KNG2" "P01045" "KNG2" "Kininogen-2" "Bos taurus" "9913" "KNG2" "1" "1"
"LUM" "Q05443" "LUM" "Lumican" "Bos taurus" "9913" "LUM" "1" "1"
"HRG" "P33433" "HRG" "Histidine-rich glycoprotein (Fragment)" "Bos taurus" "9913" "HRG" "1" "1"
"VNN1" "Q58CQ9" "VNN1" "Pantetheinase" "Bos taurus" "9913" "VNN1" "1" "1"
"TGFBI" "P55906" "TGFBI" "Transforming growth factor-beta-induced protein ig-h3" "Bos taurus" "9913" "TGFBI" "1" "2"
"HBBF" "P02081" "HBBF" "Hemoglobin fetal subunit beta" "Bos taurus" "9913" NA "1" "1"
"APOA1" "P15497" "APOA1" "Apolipoprotein A-I" "Bos taurus" "9913" "APOA1" "1" "3"
"C3" "Q2UVX4" "C3" "Complement C3" "Bos taurus" "9913" "C3" "1" "2"
"HBA" "P01966" "HBA" "Hemoglobin subunit alpha" "Bos taurus" "9913" "HBA" "1" "2"
"TF" "Q29443" "TF" "Serotransferrin" "Bos taurus" "9913" "TF" "2" "1"
"AGT" "P01017" "AGT" "Angiotensinogen" "Bos taurus" "9913" "AGT" "1" "2"
"ALB" "P02769" "ALB" "Albumin" "Bos taurus" "9913" "ALB" "1" "4"
"F12AI" "P50448" "F12AI" "Factor XIIa inhibitor" "Bos taurus" "9913" NA "1" "1"
"SeRPINA3-5" "A2I7N1" "SeRPINA3-5" "Serpin A3-5" "Bos taurus" "9913" "SeRPINA3-5" "3" "1"
"C9" "Q3MHN2" "C9" "Complement component C9" "Bos taurus" "9913" "C9" "2" "1"
"APOA2" "P81644" "APOA2" "Apolipoprotein A-II" "Bos taurus" "9913" "APOA2" "1" "2"
"APOD" "Q32KY0" "APOD" "Apolipoprotein D" "Bos taurus" "9913" "APOD" "2" "1"
"KRT71" "Q148H5" "KRT71" "Keratin. type II cytoskeletal 71" "Bos taurus" "9913" "KRT71" "2" "1"
"SeRPINA3-4" "A2I7N0" "SeRPINA3-4" "Serpin A3-4" "Bos taurus" "9913" "SeRPINA3-4" "3" "1"
"LBP" "Q2TBI0" "LBP" "Lipopolysaccharide-binding protein" "Bos taurus" "9913" "LBP" "2" "1"
"F13A1" "P12260" "F13A1" "Coagulation factor XIII A chain (Fragment)" "Bos taurus" "9913" "F13A1" "1" "2"
"CPB2" "Q2KIG3" "CPB2" "Carboxypeptidase B2" "Bos taurus" "9913" "CPB2" "1" "1"
"ITIH3" "P56652" "ITIH3" "Inter-alpha-trypsin inhibitor heavy chain H3" "Bos taurus" "9913" "ITIH3" "1" "2"
"GAPDH" "P10096" "GAPDH" "Glyceraldehyde-3-phosphate dehydrogenase" "Bos taurus" "9913" "GAPDH" "1" "4"
"SeRPINA3-8" "A6QPQ2" "SeRPINA3-8" "Serpin A3-8" "Bos taurus" "9913" "SeRPINA3-8" "2" "1"
"F2" "P00735" "F2" "Prothrombin" "Bos taurus" "9913" "F2" "1" "2"
"ITIH1" "Q0VCM5" "ITIH1" "Inter-alpha-trypsin inhibitor heavy chain H1" "Bos taurus" "9913" "ITIH1" "1" "1"
"KLKB1" "Q2KJ63" "KLKB1" "Plasma kallikrein" "Bos taurus" "9913" "KLKB1" "2" "1"
"C7" "Q29RQ1" "C7" "Complement component C7" "Bos taurus" "9913" "C7" "2" "1"
"eeF1A1" "P68103" "eeF1A1" "elongation factor 1-alpha 1" "Bos taurus" "9913" "eeF1A1" "1" "1"
"FN1" "P07589" "FN1" "Fibronectin" "Bos taurus" "9913" "FN1" "1" "4"
"COMP" "P35445" "COMP" "Cartilage oligomeric matrix protein" "Bos taurus" "9913" "COMP" "1" "2"
"HBB" "P02070" "HBB" "Hemoglobin subunit beta" "Bos taurus" "9913" "HBB" "1" "1"
"SeRPINA3-6" "A2I7N2" "SeRPINA3-6" "Serpin A3-6" "Bos taurus" "9913" "SeRPINA3-6" "3" "1"
